team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
BUNZ;capi;43;26;60.47;15203;353.56;36;0.84;28;0.65;66;1.53;95;2.21;301;7;92;2.14;36;0.84;37.89;398.5;49.3;102230;2377.44;74613;1735.19;27617;642.26;876;20.37;2439;56.72;19862;461.91;12242;284.7;7620;177.21;138;3.21;657;15.28;2117.42;49.24;1681.8;39.11;14157;329.23;13369;310.91;1622;37.72;1524.59;22175704;515714.03;7258.72;168.81;6021.72;140.04;2257.87;52.51;9682.52;225.17;5300.98;123.28;554.76;12.9;264.91;6.16;0.11;2394;55.67;5425.4;126.17;4436;103.16;3921.63;91.2;11616.62;270.15;10474.76;243.6;5063.56;117.76;7846.45;182.48;4869.07;113.23;2822.8;65.65;3114.81;3067.52;3165.81;3895.18;38;0.88;37;0.86
[TLB];fatdork;3;0;0.00;1666;555.33;2;0.67;1;0.33;11;3.67;8;2.67;41;13.67;16;5.33;8;2.67;25;439.45;46.5;8213;2737.67;6309;2103;1904;634.67;83;27.67;165;55;1098;366;631;210.33;467;155.67;10;3.33;41;13.67;125.01;41.67;135.45;45.15;1320;440;1910;636.67;370;123.33;1557.61;1556495;518831.66;504.15;168.05;403.36;134.45;179.25;59.75;627.6;209.2;400.69;133.56;58.47;19.49;23.52;7.84;0.12;194;64.67;459.8;153.27;527.4;175.8;291.86;97.29;794.91;264.97;822.87;274.29;263.89;87.96;656.69;218.9;280.62;93.54;149.45;49.82;2302.17;1828.17;2582.64;3324.14;7;2.33;6;2
[TLB];kade;45;20;44.44;30223;671.62;87;1.93;19;0.42;119;2.64;225;5;421;9.36;129;2.87;42;0.93;38.67;445.72;45.74;123580;2746.22;94607;2102.38;28973;643.84;1131;25.13;2525;56.11;25176;559.47;16644;369.87;8532;189.6;190;4.22;734;16.31;2182.29;48.5;1730.73;38.46;21629;480.64;17995;399.89;2377;52.82;1550.77;24462248;543605.5;7496.97;166.6;6828.28;151.74;2586.86;57.49;9629.24;213.98;6292.25;139.83;990.61;22.01;266.46;5.92;0.1;2617;58.16;4519.4;100.43;6332.1;140.71;4410.81;98.02;12501.3;277.81;11278.4;250.63;5633.7;125.19;8704.91;193.44;4785.97;106.35;3421.26;76.03;2464.7;2188.11;2715.2;3530.43;57;1.27;62;1.38
[PRES];laquisha bonquisha diamonique;47;27;57.45;22387;476.32;54;1.15;33;0.7;86;1.83;154;3.28;347;7.38;92;1.96;32;0.68;35.06;412.79;52.19;117170;2492.98;90031;1915.55;27139;577.43;1110;23.62;2422;51.53;24112;513.02;16466;350.34;7646;162.68;196;4.17;663;14.11;2053.04;43.68;3220.39;68.52;11686;248.64;19119;406.79;2717;57.81;1507.71;24494320;521155.75;8171.79;173.87;6871.63;146.2;2208.51;46.99;9589.67;204.04;6427.58;136.76;1234.75;26.27;275.08;5.85;0.12;2305;49.04;5496.6;116.95;5708.3;121.45;4614.01;98.17;12637.93;268.89;11258.3;239.54;5993.61;127.52;8519.08;181.26;5131.16;109.17;3601.75;76.63;2694.97;2490.41;2912.1;3598.37;42;0.89;53;1.13
[RAP];mechy ducky;48;25;52.08;21091;439.4;51;1.06;32;0.67;80;1.67;183;3.81;429;8.94;127;2.65;43;0.9;27.87;402.33;48.82;114188;2378.92;77588;1616.42;36600;762.5;971;20.23;3251;67.73;26408;550.17;14987;312.23;11421;237.94;185;3.85;1016;21.17;2111.74;43.99;1174.45;24.47;19314;402.38;19429;404.77;3563;74.23;1590.09;25881136;539190.31;7172.64;149.43;7486.5;155.97;2692.47;56.09;10075.89;209.91;6481.42;135.03;794.37;16.55;187.24;3.9;0.1;1960;40.83;5095.1;106.15;5945.8;123.87;5231.08;108.98;12120.6;252.51;11076.58;230.76;6275.1;130.73;8372.24;174.42;5207.21;108.48;3772.24;78.59;2743.97;2558.51;2895.5;3733.6;68;1.42;40;0.83
[TLB];mistermirz;48;20;41.67;10496;218.67;17;0.35;17;0.35;60;1.25;59;1.23;462;9.62;145;3.02;60;1.25;28.81;254.66;39.66;72084;1501.75;38127;794.31;33957;707.44;453;9.44;2948;61.42;14664;305.5;6102;127.12;8562;178.38;74;1.54;751;15.65;1770.96;36.9;603.94;12.58;5704;118.83;5942;123.79;1039;21.65;1346.77;22681144;472523.84;10604.8;220.93;6544.02;136.33;935.97;19.5;11896.92;247.85;5875.71;122.41;312.14;6.5;565.47;11.78;0.13;4288;89.33;6851.1;142.73;4873.6;101.53;4314.81;89.89;13770.01;286.88;12709.52;264.78;5375.25;111.98;10085.8;210.12;4934.07;102.79;3064.9;63.85;3047.47;3126.46;2977.4;3465.33;17;0.35;37;0.77
[PRES];phrez;47;27;57.45;12232;260.26;20;0.43;24;0.51;51;1.09;87;1.85;347;7.38;92;1.96;26;0.55;22.99;300.81;45.71;86937;1849.72;47471;1010.02;39466;839.7;562;11.96;3446;73.32;17127;364.4;6161;131.09;10966;233.32;74;1.57;972;20.68;1803.85;38.38;1249.04;26.58;8733;185.81;8627;183.55;1299;27.64;1426.29;22944042;488171.09;9362.95;199.21;6288.56;133.8;1565.14;33.3;10928.42;232.52;5772.41;122.82;515.79;10.97;359.92;7.66;0.11;3295;70.11;6403.1;136.24;5014.9;106.7;4540.54;96.61;12676.13;269.7;11516.97;245.04;5699.55;121.27;8693.37;184.97;5300.18;112.77;3223.06;68.58;2934.16;2967.86;2891.89;3572.75;55;1.17;46;0.98
RenshiroKamazaki & DayStarr_ & pk11;pk11;40;15;37.50;21090;527.25;57;1.42;16;0.4;80;2;176;4.4;335;8.38;112;2.8;40;1;32.39;408.28;47.81;97454;2436.35;66918;1672.95;30536;763.4;797;19.92;2676;66.9;20662;516.55;11173;279.33;9489;237.23;131;3.28;811;20.27;1729.08;43.23;746.37;18.66;7549;188.73;12518;312.95;1787;44.67;1539.4;21246616;531165.38;6757.88;168.95;5530.19;138.25;2439.34;60.98;7074.76;176.87;6773.52;169.34;879.15;21.98;365.55;9.14;0.13;2912;72.8;3860.2;96.5;5241.6;131.04;3803.61;95.09;10923.87;273.1;9564.47;239.11;5162.97;129.07;7256.79;181.42;4401.19;110.03;3069.44;76.74;2347.59;2171.24;2503.54;3357.72;37;0.93;40;1
[LAB];testie;47;17;36.17;15792;336;30;0.64;30;0.64;72;1.53;96;2.04;436;9.28;130;2.77;47;1;31.25;324.77;50.77;95325;2028.19;70807;1506.53;24518;521.66;875;18.62;2086;44.38;12789;272.11;6555;139.47;6234;132.64;79;1.68;533;11.34;1653.58;35.18;2360.72;50.23;5483;116.66;16829;358.06;1418;30.17;1435.16;23467832;499315.56;9209.88;195.95;6997.53;148.88;1323.63;28.16;9989.78;212.55;6870.51;146.18;670.74;14.27;235.19;5;0.13;1763;37.51;6176.8;131.42;5014.6;106.69;4993.21;106.24;12537.76;266.76;12033.34;256.03;5497.66;116.97;9233.78;196.46;5165.35;109.9;3131.84;66.63;2791.38;2692.17;2869.98;3344.42;24;0.51;46;0.98
TEKU;vpr.vnm;34;21;61.76;16099;473.5;36;1.06;40;1.18;54;1.59;118;3.47;236;6.94;69;2.03;23;0.68;30.51;418.79;49.6;85669;2519.68;65741;1933.56;19928;586.12;777;22.85;1715;50.44;14769;434.38;8874;261;5895;173.38;105;3.09;487;14.32;1561.77;45.93;1312.86;38.61;8105;238.38;12352;363.29;1677;49.32;1560.67;18320532;538839.19;5523.67;162.46;5286.19;155.48;1782.45;52.43;6975.53;205.16;4808.37;141.42;808.43;23.78;203.66;5.99;0.12;1725;50.74;4212.6;123.9;3692.4;108.6;3115.63;91.64;9476.76;278.73;7994.75;235.14;4597.59;135.22;5897.72;173.46;4040.54;118.84;2654.04;78.06;2745.2;2621.92;2877.09;3640.07;28;0.82;26;0.76
TEKU;vpr_vnm;15;9;60.00;6097;406.47;14;0.93;9;0.6;20;1.33;47;3.13;106;7.07;30;2;12;0.8;29.79;417.74;47.78;39179;2611.93;29282;1952.13;9897;659.8;335;22.33;849;56.6;7043;469.53;4250;283.33;2793;186.2;48;3.2;248;16.53;862.84;57.52;585.53;39.04;3910;260.67;4541;302.73;658;43.87;1533.74;8454406;563627.06;2644.91;176.33;2418.42;161.23;773.09;51.54;3244.36;216.29;2249.49;149.97;342.57;22.84;102.54;6.84;0.12;840;56;1869.8;124.65;1885.6;125.71;1551.71;103.45;4284.7;285.65;3685;245.67;2151.4;143.43;2656.47;177.1;1953.3;130.22;1226.63;81.78;2757.8;2632.37;2875.41;3690.67;8;0.53;12;0.8
TEKU;yung dequan gooch the 3rd;49;30;61.22;20282;413.92;69;1.41;32;0.65;57;1.16;165;3.37;342;6.98;99;2.02;27;0.55;41.82;367.71;50.95;112401;2293.9;73869;1507.53;38532;786.37;920;18.78;3432;70.04;30124;614.78;17277;352.59;12847;262.18;219;4.47;1154;23.55;1902.39;38.82;1891.67;38.61;16712;341.06;19116;390.12;4782;97.59;1558.17;26858868;548140.19;8125.78;165.83;7801.9;159.22;2468.13;50.37;11428.55;233.24;6017.49;122.81;949.77;19.38;297.34;6.07;0.11;2861;58.39;4913.9;100.28;6677.4;136.27;5803.45;118.44;12592.4;256.99;10836.03;221.14;7559.76;154.28;7690.53;156.95;6135.67;125.22;4569.58;93.26;2843.79;2729.4;2968.29;3666.25;76;1.55;50;1.02
