team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
TACO TUESDAYS;TacoFish;46;34;73.91;10731;233.28;25;0.54;22;0.48;35;0.76;77;1.67;273;5.93;85;1.85;31;0.67;32.47;230.32;51.28;66386;1443.17;38190;830.22;28196;612.96;526;11.43;2433;52.89;14372;312.43;6397;139.07;7975;173.37;80;1.74;678;14.74;1210.26;26.31;2067.89;44.95;1882;40.91;15152;329.39;1697;36.89;1275.7;19873436;432031.22;11183.43;243.12;4899.99;106.52;579.99;12.61;11456.86;249.06;4844.18;105.31;362.35;7.88;413.82;9;0.12;3474;75.52;6333.9;137.69;4548.2;98.87;4236.5;92.1;12426.9;270.15;11252.34;244.62;5411.06;117.63;8400.97;182.63;5236.4;113.83;3026.02;65.78;3411.28;3480.94;3345.62;3895.53;11;0.24;31;0.67
BLUE ZENITH;Tan Butt;11;9;81.82;4232;384.73;14;1.27;5;0.45;9;0.82;31;2.82;77;7;22;2;7;0.64;45.16;443.24;51.57;27398;2490.73;21772;1979.27;5626;511.45;263;23.91;506;46;5866;533.27;4284;389.45;1582;143.82;50;4.55;139;12.64;499.55;45.41;611.87;55.62;4650;422.73;4591;417.36;720;65.45;1530.67;5554176;504925.09;1755.57;159.6;1474.84;134.08;643.46;58.5;2110.45;191.86;1585.07;144.1;178.36;16.21;88.65;8.06;0.15;610;55.45;1018.4;92.58;1513;137.55;1146.82;104.26;2727.06;247.91;2426.72;220.61;1447.14;131.56;1833.32;166.67;1128.65;102.6;911.91;82.9;2834.4;2678.73;3005.74;3766.04;5;0.45;7;0.64
OWEN WILSONS;Terminator;59;27;45.76;25901;439;56;0.95;27;0.46;98;1.66;206;3.49;396;6.71;132;2.24;41;0.69;27.18;387.61;49.96;140944;2388.88;97940;1660;43004;728.88;1236;20.95;3725;63.14;25962;440.03;15225;258.05;10737;181.98;189;3.2;933;15.81;2115.48;35.86;2299.6;38.98;13966;236.71;22705;384.83;2508;42.51;1527.21;31637912;536235.81;10007.6;169.62;9276.97;157.24;2632.11;44.61;12684.08;214.98;8195.07;138.9;1037.53;17.59;579.45;9.82;0.11;5399;91.51;7078.7;119.98;7575.1;128.39;5343.23;90.56;16573.49;280.91;14670.56;248.65;7246.17;122.82;10744.39;182.11;7118.42;120.65;4053.89;68.71;2840.82;2678.9;2989.92;3504.75;58;0.98;54;0.92
SHREK TV;Toucan Tank: Sith Lord;11;9;81.82;3058;278;3;0.27;7;0.64;12;1.09;12;1.09;82;7.45;19;1.73;2;0.18;25;361.66;50.68;24263;2205.73;18240;1658.18;6023;547.55;221;20.09;541;49.18;3567;324.27;2338;212.55;1229;111.73;29;2.64;110;10;435.57;39.6;418.87;38.08;2488;226.18;3903;354.82;580;52.73;1531.05;5776844;525167.62;1778.78;161.71;1746.42;158.77;468.2;42.56;2348.51;213.5;1534.37;139.49;110.56;10.05;81.2;7.38;0.1;796;72.36;1384.4;125.85;1171.1;106.46;959.63;87.24;3033.78;275.8;2877.48;261.59;1115.92;101.45;2167.08;197.01;1225.51;111.41;600.83;54.62;3324.85;3279.74;3363.69;3993.24;5;0.45;10;0.91
MONKEY VILLAGE;User-6c17224c11;16;5;31.25;6196;387.25;13;0.81;8;0.5;20;1.25;41;2.56;127;7.94;51;3.19;13;0.81;31.71;415.51;45.92;37737;2358.56;28828;1801.75;8909;556.81;333;20.81;766;47.88;6068;379.25;3846;240.38;2222;138.88;45;2.81;184;11.5;951.7;59.48;764.07;47.75;4209;263.06;3794;237.12;511;31.94;1510.93;7828708;489294.25;2710.66;169.42;2161.06;135.07;727.64;45.48;3275.55;204.72;2001.89;125.12;321.87;20.12;84.79;5.3;0.13;655;40.94;1479.4;92.46;2019.8;126.24;1553.01;97.06;4046.29;252.89;3887.49;242.97;1711.87;106.99;3004.63;187.79;1607.5;100.47;987.21;61.7;2769.44;2614.9;2910.61;3739.26;7;0.44;28;1.75
TITS;Zhiana.;8;6;75.00;5847;730.88;20;2.5;6;0.75;17;2.12;40;5;50;6.25;16;2;6;0.75;50;419.89;52.13;19865;2483.12;14592;1824;5273;659.12;191;23.88;475;59.38;4111;513.88;2470;308.75;1641;205.12;33;4.12;139;17.38;137.93;17.24;267.17;33.4;2230;278.75;3059;382.38;641;80.12;1604.55;4291454;536431.75;1192.84;149.1;1120.35;140.04;568.05;71.01;1581;197.62;1086.37;135.8;213.85;26.73;43.73;5.47;0.13;345;43.12;906.6;113.33;960.2;120.02;648.53;81.07;2232.71;279.09;1870.17;233.77;1011.05;126.38;1425.86;178.23;844.75;105.59;610.64;76.33;2535.5;2348.51;2809.2;3526.32;5;0.62;3;0.38
AFTERMATH;Zyphon;40;10;25.00;6389;159.73;5;0.12;10;0.25;34;0.85;38;0.95;326;8.15;113;2.83;29;0.73;13.16;319.33;44.83;76232;1905.8;48938;1223.45;27294;682.35;619;15.48;2423;60.58;10918;272.95;5461;136.52;5457;136.43;66;1.65;484;12.1;2010.54;50.26;1050.56;26.26;8132;203.3;12381;309.52;1108;27.7;1446.45;19983972;499599.31;7615.19;190.38;5636.96;140.92;1404.81;35.12;9210.34;230.26;5058.09;126.45;388.46;9.71;331.34;8.28;0.12;2803;70.07;5605.5;140.14;4468.3;111.71;4435.9;110.9;10220.99;255.52;10360.85;259.02;4296.02;107.4;7821.31;195.53;4450.94;111.27;2384.64;59.62;3640.86;3706.86;3577.62;3967.34;28;0.7;30;0.75
MONKEY VILLAGE;bylebukong;62;26;41.94;23531;379.53;64;1.03;19;0.31;79;1.27;181;2.92;493;7.95;166;2.68;55;0.89;35.36;437.79;49.93;163316;2634.13;116901;1885.5;46415;748.63;1368;22.06;4027;64.95;39361;634.85;25250;407.26;14111;227.6;303;4.89;1231;19.85;3151.73;50.83;2040.77;32.92;19894;320.87;18056;291.23;4136;66.71;1593.4;33991548;548250.75;9378.24;151.26;9225.59;148.8;4040;65.16;12794.65;206.37;8856.48;142.85;992.7;16.01;536.5;8.65;0.1;5492;88.58;5023.7;81.03;9252.3;149.23;7136.3;115.1;15507.53;250.12;14550.36;234.68;8093.47;130.54;10790.98;174.05;7068.11;114;4784.68;77.17;2842.75;2686.31;3001.03;3851.73;91;1.47;63;1.02
BZ;desolation;4;3;75.00;1502;375.5;4;1;3;0.75;6;1.5;7;1.75;23;5.75;7;1.75;1;0.25;57.14;428.88;52.44;9560;2390;7596;1899;1964;491;96;24;175;43.75;2041;510.25;1502;375.5;539;134.75;18;4.5;48;12;155.89;38.97;284.84;71.21;1223;305.75;1978;494.5;295;73.75;1452.82;1882485;470621.25;700.35;175.09;512.96;128.24;195.57;48.89;760.48;190.12;598.71;149.68;49.67;12.42;29.15;7.29;0.16;183;45.75;416.5;104.12;510.6;127.65;404.1;101.03;1004.78;251.2;880.52;220.13;528.35;132.09;635.53;158.88;442.7;110.68;330.64;82.66;2909.56;2738.93;3093.03;4091.46;3;0.75;5;1.25
TACO TUESDAYS;green (ant the knee);4;3;75.00;2224;556;6;1.5;5;1.25;9;2.25;15;3.75;32;8;9;2.25;3;0.75;40;365.24;53.02;8721;2180.25;5780;1445;2941;735.25;75;18.75;273;68.25;1258;314.5;664;166;594;148.5;9;2.25;57;14.25;125.15;31.29;217.25;54.31;933;233.25;1846;461.5;261;65.25;1449.82;2013763;503440.75;798.12;199.53;506;126.5;185.51;46.38;853.28;213.32;568.41;142.1;67.94;16.99;32.94;8.23;0.11;314;78.5;471.7;117.93;457.9;114.47;351.84;87.96;1137.78;284.45;1082.55;270.64;407.07;101.77;835.88;208.97;445.98;111.49;207.75;51.94;2761.43;2565.59;2901.34;3680.65;2;0.5;2;0.5
MONKEY VILLAGE;hotshot;37;18;48.65;15155;409.59;24;0.65;25;0.68;68;1.84;102;2.76;293;7.92;92;2.49;29;0.78;23.53;437.18;49.13;96546;2609.35;74708;2019.14;21838;590.22;893;24.14;1799;48.62;17583;475.22;12196;329.62;5387;145.59;140;3.78;470;12.7;2164.29;58.49;2097.16;56.68;14268;385.62;14422;389.78;1810;48.92;1528.08;19345194;522843.09;6130.15;165.68;5453.29;147.39;1835.23;49.6;7718.02;208.6;4943.04;133.6;757.69;20.48;190.11;5.14;0.13;1516;40.97;3311.1;89.49;5093;137.65;3843.74;103.88;9574.93;258.78;9029.65;244.04;4389.03;118.62;6903.73;186.59;3911.1;105.71;2603.86;70.37;2733.88;2516.52;2933.09;3755.91;33;0.89;27;0.73
TITS;idOiT;65;43;66.15;16901;260.02;28;0.43;38;0.58;72;1.11;116;1.78;486;7.48;129;1.98;41;0.63;24.14;367.04;50.35;142540;2192.92;93582;1439.72;48958;753.2;1117;17.18;4286;65.94;24280;373.54;11644;179.14;12636;194.4;145;2.23;1100;16.92;2256.22;34.71;1563.56;24.05;13594;209.14;18413;283.28;2808;43.2;1514.83;33555284;516235.12;10913.54;167.9;10149.59;156.15;2486.62;38.26;14719.43;226.45;8116.42;124.87;713.88;10.98;692.16;10.65;0.14;5146;79.17;7122.9;109.58;7745.7;119.16;6318.01;97.2;17231.75;265.1;15781.79;242.8;7768.01;119.51;11581.08;178.17;7976.77;122.72;3991.92;61.41;3225.28;3180.58;3266.96;3777.78;38;0.58;51;0.78
SHREK TV;jams;62;33;53.23;16849;271.76;34;0.55;36;0.58;63;1.02;122;1.97;451;7.27;134;2.16;52;0.84;27.87;358.17;49.71;128224;2068.13;88692;1430.52;39532;637.61;1017;16.4;3461;55.82;17387;280.44;8273;133.44;9114;147;94;1.52;798;12.87;2441.66;39.38;1745.73;28.16;6847;110.44;12961;209.05;1158;18.68;1370.75;28704688;462978.84;12763.21;205.86;7965.51;128.48;1566.58;25.27;13692.85;220.85;7820.84;126.14;781.59;12.61;622.47;10.04;0.17;3774;60.87;7872.3;126.97;6548.6;105.62;5462.34;88.1;16833.01;271.5;15688.89;253.05;6606.3;106.55;11951.06;192.76;6825.71;110.09;3518.62;56.75;3271.26;3311.28;3226.26;3964.86;25;0.4;35;0.56
BZ;mushy tushy;15;7;46.67;5303;353.53;12;0.8;8;0.53;15;1;43;2.87;98;6.53;28;1.87;4;0.27;27.91;437.31;51.05;37419;2494.6;29412;1960.8;8007;533.8;358;23.87;700;46.67;8108;540.53;5691;379.4;2417;161.13;68;4.53;210;14;760;50.67;827.68;55.18;4680;312;6302;420.13;1021;68.07;1500.49;7397952;493196.81;2427.58;161.84;2069.98;138;704.08;46.94;2718.98;181.27;2215.64;147.71;266.99;17.8;108.44;7.23;0.15;716;47.73;1340;89.33;1991.3;132.75;1677.62;111.84;3524.03;234.94;3290.17;219.34;1911.42;127.43;2461.49;164.1;1526.95;101.8;1213.24;80.88;2612.19;2421.49;2787.57;3789.75;12;0.8;12;0.8
RCE;rubber ducky;60;33;55.00;26066;434.43;66;1.1;27;0.45;96;1.6;209;3.48;488;8.13;151;2.52;56;0.93;31.58;403.25;50.63;142921;2382.02;98795;1646.58;44126;735.43;1210;20.17;3866;64.43;34955;582.58;20741;345.68;14214;236.9;247;4.12;1222;20.37;2987.66;49.79;1505.44;25.09;22850;380.83;21708;361.8;4051;67.52;1538.05;31562974;526049.56;9856.41;164.27;9133.85;152.23;2827.68;47.13;13143.53;219.06;7700.34;128.34;974.06;16.23;272.19;4.54;0.11;2510;41.83;5902.3;98.37;8411.5;140.19;6400.76;106.68;15417.23;256.95;14091.55;234.86;7726.42;128.77;10590.82;176.51;6558.99;109.32;4668.18;77.8;2912.44;2687.66;3108.39;3886.95;88;1.47;42;0.7
TITS;sz.;10;8;80.00;5457;545.7;12;1.2;9;0.9;18;1.8;36;3.6;73;7.3;15;1.5;5;0.5;33.33;461.02;50.16;26759;2675.9;19901;1990.1;6858;685.8;248;24.8;614;61.4;5881;588.1;3627;362.7;2254;225.4;41;4.1;192;19.2;388.64;38.86;297.38;29.74;3262;326.2;3084;308.4;313;31.3;1612.85;5263624;526362.38;1382.99;138.3;1294.91;129.49;769.55;76.96;1874.81;187.48;1348.21;134.82;224.46;22.45;58.63;5.86;0.11;499;49.9;997.9;99.79;1267.1;126.71;907.15;90.72;2540.32;254.03;2260.69;226.07;1186.73;118.67;1723.49;172.35;1014.54;101.45;709.43;70.94;2594.36;2237.34;2935.83;3826.96;6;0.6;5;0.5
MONKEY VILLAGE;the shot that is hot;9;3;33.33;3922;435.78;7;0.78;6;0.67;16;1.78;30;3.33;73;8.11;23;2.56;5;0.56;23.33;468;51.14;28974;3219.33;22737;2526.33;6237;693;264;29.33;509;56.56;5097;566.33;3749;416.56;1348;149.78;43;4.78;104;11.56;668.59;74.29;510.38;56.71;2976;330.67;2687;298.56;288;32;1495.14;5322385;591376.12;1746.84;194.09;1553.64;172.63;442.63;49.18;2216.3;246.26;1311.49;145.72;215.33;23.93;65.54;7.28;0.13;482;53.56;1118;124.22;1257.2;139.69;972.93;108.1;2770.17;307.8;2595.19;288.35;1147.92;127.55;1961.86;217.98;1111.84;123.54;669.42;74.38;2776.6;2653.23;2872.18;3755.89;1;0.11;10;1.11
MONKEY VILLAGE;udayksingla;62;26;41.94;8571;138.24;10;0.16;8;0.13;52;0.84;36;0.58;493;7.95;166;2.68;62;1;27.78;231.18;49.84;87226;1406.87;51645;832.98;35581;573.89;675;10.89;3093;49.89;6529;105.31;2450;39.52;4079;65.79;32;0.52;354;5.71;2141.52;34.54;2993.17;48.28;6369;102.73;16630;268.23;795;12.82;1316.88;28220252;455165.34;14730.46;237.59;7159.62;115.48;971.72;15.67;16079.77;259.35;6363.99;102.65;418.05;6.74;426.8;6.88;0.15;2919;47.08;11774;189.9;4644.4;74.91;4439.93;71.61;18421.81;297.13;19357.19;312.21;3504.58;56.53;15977.6;257.7;5238.65;84.49;1645.58;26.54;3749.53;3926.82;3569.29;3943.21;10;0.16;34;0.55
TACO TUESDAYS;xTacoFish;3;0;0.00;390;130;0;0;2;0.67;0;0;4;1.33;22;7.33;10;3.33;3;1;0;221.46;44.35;4239;1413;2199;733;2040;680;29;9.67;173;57.67;694;231.33;185;61.67;509;169.67;2;0.67;44;14.67;124;41.33;82.33;27.44;105;35;622;207.33;18;6;1259.99;1346409;448803;787.82;262.61;335.45;111.82;26.03;8.68;829.64;276.55;292.95;97.65;26.68;8.89;23.5;7.83;0.12;201;67;427.9;142.63;325.8;108.6;296.78;98.93;852.48;284.16;789.4;263.13;359.87;119.96;564.15;188.05;406.55;135.52;178.56;59.52;3478.06;3593.76;3386.81;3910.08;2;0.67;2;0.67
