team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
[8];ARBY_.;65;49;75.38;20870;321.08;57;0.88;37;0.57;71;1.09;156;2.4;398;6.12;97;1.49;34;0.52;36.54;363.87;50.14;144173;2218.05;91381;1405.86;52792;812.18;1104;16.98;4740;72.92;29198;449.2;14826;228.09;14372;221.11;179;2.75;1261;19.4;2289.74;35.23;1426.69;21.95;11349;174.6;19021;292.63;2958;45.51;1441.37;32404738;498534.44;11896.89;183.03;10069.19;154.91;1934.83;29.77;15327.87;235.81;7705.04;118.54;867.98;13.35;622.78;9.58;0.16;3862;59.42;8871.2;136.48;7423.1;114.2;5765.43;88.7;18135.48;279.01;15643.66;240.67;8257.24;127.03;11382.81;175.12;7922.99;121.89;4595.08;70.69;3097.18;3095.94;3103.55;3720.79;44;0.68;63;0.97
ARGON'S KITTENS;Aarav;56;36;64.29;27400;489.29;74;1.32;39;0.7;101;1.8;209;3.73;341;6.09;97;1.73;39;0.7;35.41;452.05;47.73;149491;2669.48;101544;1813.29;47947;856.2;1258;22.46;4216;75.29;33031;589.84;17907;319.77;15124;270.07;223;3.98;1314;23.46;2498.52;44.62;2840.94;50.73;23793;424.88;25843;461.48;4658;83.18;1613.44;30809116;550162.81;8200.49;146.44;7889.74;140.89;4180.5;74.65;10412.38;185.94;8823.15;157.56;1035.17;18.49;513.02;9.16;0.09;5907;105.48;6545.1;116.88;6687.3;119.42;5484.17;97.93;14786.58;264.05;12713.07;227.02;7557.65;134.96;9402.44;167.9;6337.66;113.17;4530.66;80.9;2884.92;2735.41;3039.12;3758.89;78;1.39;36;0.64
ARGON'S KITTENS;Argon;50;20;40.00;18341;366.82;46;0.92;22;0.44;67;1.34;141;2.82;382;7.64;120;2.4;34;0.68;32.62;481.02;54.09;144261;2885.22;109740;2194.8;34521;690.42;1423;28.46;3097;61.94;27698;553.96;17928;358.56;9770;195.4;220;4.4;892;17.84;1845.96;36.92;1756.43;35.13;22034;440.68;31847;636.94;3902;78.04;1719.55;28946060;578921.19;5702.73;114.05;8116.05;162.32;4137.86;82.76;9361.91;187.24;7684.86;153.7;909.86;18.2;439.53;8.79;0.08;5611;112.22;5263.8;105.28;6590.4;131.81;5610.23;112.2;12346.36;246.93;11770.18;235.4;6186.37;123.73;8733.37;174.67;5534.83;110.7;3688.38;73.77;3137.6;2978.67;3291.15;3819.2;58;1.16;42;0.84
TEAM 5;BeeHolder;28;12;42.86;6293;224.75;13;0.46;9;0.32;30;1.07;38;1.36;225;8.04;73;2.61;24;0.86;34.21;323.09;45.36;53665;1916.61;35282;1260.07;18383;656.54;405;14.46;1619;57.82;7536;269.14;3470;123.93;4066;145.21;40;1.43;361;12.89;1289.38;46.05;1309.44;46.77;3035;108.39;5591;199.68;610;21.79;1449.69;13493137;481897.75;5225.65;186.63;3727.39;133.12;946.33;33.8;5912.84;211.17;3791.35;135.41;195.19;6.97;354.82;12.67;0.11;3302;117.93;4010.6;143.24;2911.3;103.97;2428.2;86.72;7471.15;266.83;7085.17;253.04;2814.21;100.51;5410.25;193.22;3013.51;107.63;1475.64;52.7;3468.79;3573.61;3355.08;3845.66;17;0.61;15;0.54
SKEEYEE;Bern1s;19;2;10.53;6433;338.58;6;0.32;4;0.21;43;2.26;34;1.79;180;9.47;69;3.63;30;1.58;17.65;408.03;48.42;46231;2433.21;33444;1760.21;12787;673;402;21.16;1054;55.47;9846;518.21;6134;322.84;3712;195.37;76;4;297;15.63;868.87;45.73;888.87;46.78;8174;430.21;6616;348.21;1431;75.32;1463.79;9544973;502367;3472.23;182.75;2663.11;140.16;874.03;46;4120.54;216.87;2586.93;136.15;301.94;15.89;159.74;8.41;0.09;1790;94.21;2473.4;130.18;2383.1;125.43;2193.38;115.44;4816.03;253.48;4827.07;254.06;2182.28;114.86;3671.7;193.25;2036.69;107.19;1301.04;68.48;2855.35;2643.24;3019.9;3661.98;16;0.84;16;0.84
SKEEYEE;Bern1s;17;2;11.76;6091;358.29;9;0.53;8;0.47;35;2.06;33;1.94;166;9.76;61;3.59;17;1;27.27;408.51;48.6;42049;2473.47;30811;1812.41;11238;661.06;361;21.24;973;57.24;9220;542.35;6240;367.06;2980;175.29;70;4.12;259;15.24;582.1;34.24;766.2;45.07;7069;415.82;5386;316.82;763;44.88;1512.08;8863142;521361.28;2987.69;175.75;2543.77;149.63;742.43;43.67;3863.91;227.29;2141.58;125.98;268.32;15.78;140.49;8.26;0.09;1605;94.41;2125.3;125.02;1848.2;108.72;1673.35;98.43;4600.54;270.62;4371.29;257.13;1902.52;111.91;3409.1;200.54;1765.57;103.86;1099.17;64.66;2755.62;2709.28;2796.51;3559.28;20;1.18;16;0.94
GARFIELD;Chyaboi 143;54;24;44.44;21971;406.87;54;1;37;0.69;67;1.24;179;3.31;379;7.02;143;2.65;49;0.91;30.17;483.67;46.98;153270;2838.33;112685;2086.76;40585;751.57;1319;24.43;3396;62.89;36277;671.8;22795;422.13;13482;249.67;263;4.87;1135;21.02;3327.61;61.62;2005.15;37.13;27859;515.91;19134;354.33;3515;65.09;1582.98;28902532;535232.06;8218.32;152.19;7676.27;142.15;3604.44;66.75;10741.09;198.91;7775.53;143.99;982.46;18.19;361.34;6.69;0.11;3383;62.65;5164.8;95.64;6765;125.28;5753.84;106.55;13745.19;254.54;11803.95;218.59;7695.03;142.5;8670.34;160.56;6108.23;113.12;4720.55;87.42;2684.78;2490.25;2874.95;3859.51;69;1.28;45;0.83
[HONR];DayStarr_;65;36;55.38;12620;194.15;25;0.38;25;0.38;50;0.77;87;1.34;523;8.05;157;2.42;73;1.12;28.74;295.43;42.29;111193;1710.66;69927;1075.8;41266;634.86;821;12.63;3573;54.97;15905;244.69;6475;99.62;9430;145.08;79;1.22;831;12.78;3754.98;57.77;1840.4;28.31;9312;143.26;10979;168.91;1132;17.42;1420.3;31493546;484516.09;12720.32;195.7;9080.54;139.7;1868.49;28.75;15909.47;244.76;7260.81;111.7;499.09;7.68;293.83;4.52;0.14;2058;31.66;8991;138.32;6533.8;100.52;5615.72;86.4;18053.63;277.75;16436.08;252.86;7233.2;111.28;12570.56;193.39;7058.73;108.6;4040.02;62.15;3083.66;3227.62;2930.89;3469.24;16;0.25;55;0.85
[DALY];Dies;39;6;15.38;12321;315.92;21;0.54;14;0.36;60;1.54;67;1.72;379;9.72;126;3.23;38;0.97;31.34;256.83;58.75;65552;1680.82;43738;1121.49;21814;559.33;628;16.1;1958;50.21;11664;299.08;5629;144.33;6035;154.74;81;2.08;539;13.82;488.57;12.53;2991.7;76.71;2901;74.38;20053;514.18;2688;68.92;1390.18;18269788;468456.09;8008.25;205.34;4944.7;126.79;1079.97;27.69;8465.3;217.06;5091.17;130.54;476.47;12.22;177.74;4.56;0.14;1301;33.36;5287.6;135.58;4433;113.67;3979.73;102.04;10053.19;257.77;9974.14;255.75;4058.81;104.07;7817.79;200.46;3995.48;102.45;2219.64;56.91;3248.01;3192.4;3292.84;3690.35;50;1.28;32;0.82
[HONR];Double Unicycle;65;36;55.38;19786;304.4;42;0.65;31;0.48;84;1.29;141;2.17;523;8.05;157;2.42;47;0.72;29.79;342.08;45.64;132839;2043.68;93908;1444.74;38931;598.94;1100;16.92;3338;51.35;23043;354.51;11653;179.28;11390;175.23;134;2.06;977;15.03;2643.15;40.66;3219.54;49.53;15414;237.14;16296;250.71;1872;28.8;1476.05;32807494;504730.69;11758.27;180.9;9194.5;141.45;2726.47;41.95;14173.96;218.06;8595.08;132.23;910.21;14;394.21;6.06;0.1;4125;63.46;7895.9;121.48;7316.2;112.56;5736.37;88.25;17942.73;276.04;15387.69;236.73;8291.39;127.56;11620.07;178.77;7336.51;112.87;4722.61;72.66;2958.98;2924.12;2974.04;3450.98;37;0.57;49;0.75
