team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
[LPH];gOOFy;42;14;33.33;23196;552.29;58;1.38;17;0.4;98;2.33;184;4.38;368;8.76;116;2.76;48;1.14;31.52;387.23;49.85;100935;2403.21;78540;1870;22395;533.21;948;22.57;1950;46.43;16924;402.95;10835;257.98;6089;144.98;127;3.02;527;12.55;1942.35;46.25;1448.72;34.49;10103;240.55;16059;382.36;1865;44.4;1538.73;23033688;548421.12;7072.8;168.4;7106.38;169.2;1736.59;41.35;9372.81;223.16;5840.38;139.06;702.63;16.73;283.17;6.74;0.09;3063;72.93;4406;104.9;5553.9;132.24;4069.86;96.9;11845.95;282.05;10802.98;257.21;5112.75;121.73;8489.32;202.13;4315.26;102.74;3111.23;74.08;2616.78;2484.74;2727.77;3696.89;28;0.67;40;0.95
[SD];hotshotrl;19;9;47.37;6934;364.95;11;0.58;11;0.58;23;1.21;50;2.63;118;6.21;39;2.05;8;0.42;22;443.1;48.88;48338;2544.11;36969;1945.74;11369;598.37;437;23;913;48.05;8831;464.79;5956;313.47;2875;151.32;70;3.68;239;12.58;1156.69;60.88;946.78;49.83;6156;324;4985;262.37;580;30.53;1509.33;9602741;505407.41;3094.43;162.86;2790.8;146.88;836.74;44.04;3901.46;205.34;2421.2;127.43;399.3;21.02;88.79;4.67;0.13;676;35.58;2062;108.53;2477;130.37;1839.63;96.82;4882.35;256.97;4321.64;227.45;2400.33;126.33;3233.33;170.18;2037.4;107.23;1451.28;76.38;2887.57;2660.9;3118.01;3777.06;13;0.68;14;0.74
[CS];idOiT;56;37;66.07;16591;296.27;43;0.77;27;0.48;55;0.98;125;2.23;324;5.79;104;1.86;37;0.66;34.4;378.71;50.32;127545;2277.59;86799;1549.98;40746;727.61;1059;18.91;3605;64.38;25462;454.68;13394;239.18;12068;215.5;171;3.05;1069;19.09;1957.94;34.96;1471.02;26.27;16326;291.54;19586;349.75;3700;66.07;1554.15;30201912;539319.88;8921.57;159.31;9226.71;164.76;2435.82;43.5;12677.6;226.39;7195.02;128.48;711.49;12.71;572.89;10.23;0.11;5022;89.68;6530;116.61;6834.5;122.04;5811.34;103.77;14772.8;263.8;12612.68;225.23;7971.42;142.35;8762.29;156.47;7476.9;133.52;4344.89;77.59;3000.06;2964.22;3044.29;3701.55;49;0.88;57;1.02
Brictone & ilygio & Swej.;ilygio;40;22;55.00;9947;248.68;20;0.5;14;0.35;46;1.15;60;1.5;287;7.18;89;2.22;23;0.57;33.33;296.47;50.69;70279;1756.97;48329;1208.22;21950;548.75;578;14.45;1908;47.7;12010;300.25;7332;183.3;4678;116.95;88;2.2;417;10.43;1219.47;30.49;1403.22;35.08;6294;157.35;9085;227.12;1142;28.55;1414.94;18994008;474850.19;7797.01;194.93;5190.55;129.76;1333.19;33.33;9253.22;231.33;4687.39;117.18;380.15;9.5;192.6;4.82;0.19;1002;25.05;6136.8;153.42;3613.1;90.33;3253.06;81.33;11067.64;276.69;10452.83;261.32;3867.91;96.7;8090.57;202.26;4124.86;103.12;2105.35;52.63;3280.93;3340.61;3222.16;3626.89;39;0.98;29;0.73
JBassFox & Terminator & K105TY;kloster_boy;1;0;0.00;0;0;0;0;0;0;0;0;0;0;13;13;4;4;0;0;0;371;16.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;769;7132;7132;56.19;56.19;1.53;1.53;0;0;51.57;51.57;3.18;3.18;2.97;2.97;0;0;0;0;0;53.2;53.2;0.1;0.1;0;0;57.72;57.72;57.72;57.72;0;0;57.72;57.72;0;0;0;0;4721;3923;4787;3525;0;0;0;0
[LBP];lite;44;17;38.64;13027;296.07;29;0.66;32;0.73;33;0.75;91;2.07;318;7.23;113;2.57;41;0.93;31.87;344.11;46.88;89598;2036.32;60389;1372.48;29209;663.84;677;15.39;2545;57.84;20918;475.41;12273;278.93;8645;196.48;140;3.18;759;17.25;2051.03;46.61;1194.18;27.14;6171;140.25;7282;165.5;1730;39.32;1433.23;21266568;483331.09;8285.17;188.3;5985.36;136.03;1556.3;35.37;8305.89;188.77;6900.5;156.83;620.43;14.1;368.96;8.39;0.11;3271;74.34;4309.4;97.94;5422.6;123.24;4434.35;100.78;11392.46;258.92;10052.37;228.46;5774.43;131.24;7409.34;168.39;5007.18;113.8;3410.35;77.51;2642.12;2568.9;2690.34;3452.25;25;0.57;32;0.73
GAPPLEBEES;rex;56;35;62.50;23661;422.52;59;1.05;37;0.66;77;1.38;199;3.55;338;6.04;100;1.79;35;0.62;29.65;438.34;51.52;142507;2544.77;110387;1971.2;32120;573.57;1319;23.55;2778;49.61;34373;613.8;23615;421.7;10758;192.11;272;4.86;912;16.29;2075.54;37.06;2657.87;47.46;16091;287.34;22153;395.59;3623;64.7;1499.4;27426060;489751.06;9288.78;165.87;7658.18;136.75;2603.64;46.49;10720.92;191.44;7618.34;136.04;1211.32;21.63;296.46;5.29;0.17;1753;31.3;6069;108.38;6621.7;118.24;5261.1;93.95;14289.46;255.17;11877.59;212.1;7672.96;137.02;8618.53;153.9;6312.12;112.72;4619.95;82.5;2845.48;2698.56;2998.28;3625.78;47;0.84;49;0.88
[LBP];rubber ducky;19;8;42.11;9080;477.89;26;1.37;10;0.53;33;1.74;73;3.84;130;6.84;47;2.47;20;1.05;35.62;399.13;50.82;42850;2255.26;30128;1585.68;12722;669.58;360;18.95;1130;59.47;10198;536.74;6223;327.53;3975;209.21;73;3.84;349;18.37;792.35;41.7;441.33;23.23;6682;351.68;5882;309.58;1082;56.95;1537.03;9638992;507315.38;3020.06;158.95;2828.54;148.87;833.08;43.85;4117.35;216.7;2286.01;120.32;278.27;14.65;89.37;4.7;0.11;806;42.42;1872.6;98.56;2449.8;128.94;1922.47;101.18;4759.19;250.48;4217.88;221.99;2463.79;129.67;3137.45;165.13;2040.43;107.39;1503.82;79.15;2784.01;2556.94;2991.91;3662.51;19;1;17;0.89
[CS];sTeVe;56;37;66.07;24721;441.45;69;1.23;48;0.86;64;1.14;212;3.79;324;5.79;104;1.86;32;0.57;32.55;429.64;46.89;142394;2542.75;106516;1902.07;35878;640.68;1227;21.91;3114;55.61;28249;504.45;17324;309.36;10925;195.09;205;3.66;948;16.93;3376.87;60.3;1802.12;32.18;15684;280.07;11914;212.75;1459;26.05;1593.89;31025592;554028.44;8580.38;153.22;8612.73;153.8;3432.43;61.29;11473.52;204.88;8149.3;145.52;1002.73;17.91;290.48;5.19;0.14;2074;37.04;6046;107.96;7092.9;126.66;5669.82;101.25;14955.73;267.07;12517.7;223.53;8107.84;144.78;8842.19;157.9;7015.98;125.29;4767.4;85.13;2766.43;2634.07;2909.55;3649.87;57;1.02;45;0.8
[T2V3];solo;31;8;25.81;15886;512.45;29;0.94;14;0.45;73;2.35;110;3.55;277;8.94;85;2.74;41;1.32;26.36;423.24;47.99;78031;2517.13;56749;1830.61;21282;686.52;683;22.03;1805;58.23;14570;470;8314;268.19;6256;201.81;99;3.19;527;17;1170.32;37.75;941.76;30.38;12373;399.13;11275;363.71;1536;49.55;1548.5;16438321;530268.44;5051.25;162.94;4269.68;137.73;1943.67;62.7;6257.44;201.85;4369.53;140.95;637.56;20.57;150.49;4.85;0.14;1084;34.97;3694.7;119.18;4152.2;133.94;2947.14;95.07;8317.39;268.3;7610.15;245.49;3654.38;117.88;5871.89;189.42;3241.36;104.56;2151.37;69.4;2540.28;2287;2762.33;3486.11;48;1.55;26;0.84
[SD];these hoes wild;27;19;70.37;11277;417.67;30;1.11;20;0.74;34;1.26;87;3.22;177;6.56;46;1.7;13;0.48;34.48;415.79;48.9;66158;2450.3;52121;1930.41;14037;519.89;605;22.41;1153;42.7;14119;522.93;10387;384.7;3732;138.22;116;4.3;310;11.48;1482.57;54.91;1501.58;55.61;9133;338.26;7739;286.63;963;35.67;1478.18;13484077;499410.25;4798.48;177.72;3857.53;142.87;1027.57;38.06;5861.83;217.1;3258.28;120.68;563.48;20.87;110.73;4.1;0.13;859;31.81;3012.8;111.59;3480.1;128.89;2675.76;99.1;7007.83;259.55;6277.38;232.5;3406.2;126.16;4791.09;177.45;2765.95;102.44;2126.54;78.76;2842.54;2718.32;2992.36;3582.76;19;0.7;32;1.19
