player name,WAR,cluster,teammate_WAR,performance,avg_performance,cWAR
aarav,2.9021507558246182,2,4.403966690220665,0.6589856281767661,0.5224146348410134,3.098217707572604
arby,2.166625000330113,3,5.194096154506379,0.41713224705136753,0.5224146348410134,2.0154772613961436
argon,2.17308807725319,3,3.7767861545063797,0.5753802276203296,0.5224146348410134,2.2491276671405913
azapatos,3.499820804525917,1,2.8290469120821378,1.2371024282344258,0.5224146348410134,4.525856082439189
beeholder,1.3851195058246184,5,3.929774214919734,0.3524679612802919,0.5224146348410134,1.1411370507593406
bern1s,1.5758397439198566,4,2.910308164310301,0.5414683445707568,0.5224146348410134,1.6031940355959626
chyaboi,2.4941082624383752,3,3.689540598950824,0.6759942587832242,0.5224146348410134,2.7145935059111435
deso,2.2333879210031897,3,3.83283443575638,0.5826987725240598,0.5224146348410134,2.3199343158530286
dies,1.5066634618685744,5,3.2226153852756108,0.4675281663311859,0.5224146348410134,1.427866183544053
double unicycle,1.823875000330113,4,4.4043961545063794,0.41410330414170543,0.5224146348410134,1.6683787860075514
dreamz,2.032638594494569,3,4.30836339588569,0.4717890316391731,0.5224146348410134,1.9599583901719329
front flip freddy,1.7705949522531899,4,3.9418813107563797,0.4491751051513631,0.5224146348410134,1.6654492622134105
g_llama,1.2616314105865232,5,3.4676474365576615,0.36382920515095574,0.5224146348410134,1.033959625886732
hotshot,2.2894377831355426,3,3.324923360388733,0.6885685878990826,0.5224146348410134,2.5279752521930017
kade,3.0617826926378053,2,3.1664884621986875,0.966933159299062,0.5224146348410134,3.699951823265237
king,1.5423274890178957,5,3.772566231726457,0.40882714690262,0.5224146348410134,1.3792566057151698
kooks,2.41576682725319,3,3.6504555295063796,0.6617713344887272,0.5224146348410134,2.615833053896311
lukethighwalkr4,1.5775897439198565,4,4.606059117469343,0.34250314719942515,0.5224146348410134,1.3193013906997069
luma,2.30064182725319,3,5.005475618792094,0.4596250191721789,0.5224146348410134,2.2104984648530204
mistermirz,1.3663359560410688,5,4.962531760566986,0.275330420431397,0.5224146348410134,1.0116116653182243
notmylos,1.202693910586523,5,3.283453997643635,0.3662892525522314,0.5224146348410134,0.9785538714158712
pastamafia,1.0928054301943664,5,4.521555713329909,0.2416879276689411,0.5224146348410134,0.6897825890690801
paz,1.41706760850319,5,4.64915474825638,0.30480112735215953,0.5224146348410134,1.1046526803373466
peak,2.874031185361298,2,3.5040860193712446,0.8201942445114402,0.5224146348410134,3.3015358767656413
penquan,1.83516526475319,4,3.8773109982563794,0.4733087610404378,0.5224146348410134,1.7646668466496467
phrez,1.7125278069829197,4,4.665589397749622,0.36705497655000074,0.5224146348410134,1.4894870727704872
pops,2.1067160460031897,3,3.60576021700638,0.5842640439780142,0.5224146348410134,2.1955096091216264
ral days,1.9609839746890874,4,2.7682948724550975,0.7083725054730039,0.5224146348410134,2.2279527647507162
renshirokamazaki,1.4627109560410687,5,4.8661567605669855,0.3005885399940629,0.5224146348410134,1.1442482636897258
rubber ducky,2.15414307725319,3,3.79573115450638,0.5675172949737869,0.5224146348410134,2.218894316677933
senor brightside,1.914504973804914,4,4.426497016575345,0.4325101692457735,0.5224146348410134,1.7854344143307324
shooopen,1.62264307725319,4,4.32723115450638,0.3749841455923538,0.5224146348410134,1.4109857852055707
sooper,2.2845903849454974,3,5.0761307698909945,0.45006531322961896,0.5224146348410134,2.1807227143449994
terminator,2.909505769560882,2,4.45121538527561,0.6536429980866296,0.5224146348410134,3.0979026211616505
tipsy,2.393858422080776,3,3.947143568299483,0.6064786802553785,0.5224146348410134,2.514544233419046
tophatbear,2.1033248629674755,3,5.202792583077809,0.4042684441829535,0.5224146348410134,1.9337093179885114
toucan,2.1119508550309676,3,4.071698006358232,0.5186904460333289,0.5224146348410134,2.1066042559514577
uday,1.3426134618685746,5,4.885657692967918,0.2748071081199652,0.5224146348410134,0.9871378824041861
uncledrug,1.791558212388325,4,4.586558992344218,0.39061052422497,0.5224146348410134,1.6023347941123103
venom,2.3874467259018384,3,2.927446994842514,0.8155388398519149,0.5224146348410134,2.808267926336013
vpr.vnm,2.2321179301943666,3,3.382243213329909,0.6599519281751435,0.5224146348410134,2.429572142081042
vt stormzy,1.7076142537237782,4,2.7785336545063797,0.6145738961823531,0.5224146348410134,1.8399218909840551
