team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
[2G1C];0Seq0;42;28;66.67;13018;309.95;30;0.71;18;0.43;54;1.29;106;2.52;274;6.52;70;1.67;20;0.48;28.3;312.79;52.32;79167;1884.93;53204;1266.76;25963;618.17;642;15.29;2305;54.88;16996;404.67;10112;240.76;6884;163.9;125;2.98;599;14.26;1318.2;31.39;1705.63;40.61;5122;121.95;11344;270.1;2271;54.07;1363.79;19394404;461771.53;8818.58;209.97;5334.64;127.02;965.92;23;9957.21;237.08;4640.49;110.49;521.42;12.41;424.81;10.11;0.11;3718;88.52;5348.5;127.35;4394.2;104.62;4042.48;96.25;11076.7;263.73;10064.63;239.63;5054.51;120.35;7470.45;177.87;4767.43;113.51;2881.27;68.6;3263.12;3214.77;3318.03;3815.26;27;0.64;35;0.83
[CAB];ARBY_8;43;26;60.47;11187;260.16;23;0.53;24;0.56;44;1.02;84;1.95;266;6.19;85;1.98;31;0.72;27.38;347.59;47.96;89263;2075.88;57650;1340.7;31613;735.19;690;16.05;2799;65.09;16333;379.84;7417;172.49;8916;207.35;86;2;797;18.53;1603.08;37.28;818.03;19.02;4850;112.79;11102;258.19;1164;27.07;1434.34;20858604;485083.81;7806.93;181.56;6540.89;152.11;1082.41;25.17;9602.55;223.32;5360.36;124.66;467.24;10.87;373.69;8.69;0.13;2838;66;5223.3;121.47;4818.1;112.05;4145.55;96.41;11284.6;262.43;9999.59;232.55;5430.6;126.29;7293.37;169.61;5019.53;116.73;3117.23;72.49;3048.36;3088.09;3005.32;3747.47;16;0.37;40;0.93
[BDYN];Alex;44;20;45.45;22858;519.5;66;1.5;26;0.59;67;1.52;188;4.27;329;7.48;127;2.89;46;1.05;35.11;429;52.39;113049;2569.3;85366;1940.14;27683;629.16;1078;24.5;2443;55.52;19828;450.64;11622;264.14;8206;186.5;148;3.36;719;16.34;1594.94;36.25;1234.48;28.06;12866;292.41;22505;511.48;3259;74.07;1616.7;24513992;557136.19;6417.02;145.84;7153.54;162.58;2632.9;59.84;8579.8;195;6697.52;152.22;926.1;21.05;295.37;6.71;0.1;3093;70.3;4857.7;110.4;5392.9;122.57;3725.58;84.67;12477.85;283.59;10384.92;236.02;5818.53;132.24;7752.33;176.19;5030.85;114.34;3420.27;77.73;2639.35;2418.19;2850.54;3652.6;35;0.8;46;1.05
[LFC];Argon;45;32;71.11;16068;357.07;42;0.93;31;0.69;49;1.09;124;2.76;297;6.6;80;1.78;23;0.51;33.87;504.47;53.81;134305;2984.56;101494;2255.42;32811;729.13;1285;28.56;2934;65.2;25855;574.56;16432;365.16;9423;209.4;209;4.64;833;18.51;2010.58;44.68;1582.34;35.16;24798;551.07;27281;606.24;4593;102.07;1769.54;26746376;594363.94;4632.84;102.95;7136.33;158.59;4286.12;95.25;8449.03;187.76;6895.31;153.23;710.89;15.8;361.75;8.04;0.08;4375;97.22;5052.3;112.27;5737.9;127.51;5019.73;111.55;11035.61;245.24;10460.38;232.45;5594.83;124.33;7965.46;177.01;4649.99;103.33;3439.85;76.44;3418.89;3260.84;3591.54;4242.44;63;1.4;42;0.93
[CAB];DefinitelyAnna;43;26;60.47;14756;343.16;35;0.81;27;0.63;44;1.02;133;3.09;266;6.19;85;1.98;24;0.56;26.32;406.73;48.86;102913;2393.33;72952;1696.56;29961;696.77;892;20.74;2653;61.7;23696;551.07;15277;355.28;8419;195.79;185;4.3;739;17.19;1544.45;35.92;1624.56;37.78;14619;339.98;13731;319.33;2562;59.58;1570.68;22879422;532079.56;6591.06;153.28;6433.02;149.61;2455.04;57.09;8791.48;204.45;6086.97;141.56;600.7;13.97;397.91;9.25;0.1;3969;92.3;5295.9;123.16;5083.3;118.22;4285.73;99.67;11193.4;260.31;9949.74;231.39;5529.41;128.59;7456.16;173.4;4689.55;109.06;3333.44;77.52;3330.94;3204.56;3460.73;3883.25;20;0.47;30;0.7
[TP];Dies;41;21;51.22;15759;384.37;38;0.93;21;0.51;69;1.68;100;2.44;332;8.1;103;2.51;35;0.85;38;292.55;55.96;80201;1956.12;53000;1292.68;27201;663.44;720;17.56;2481;60.51;16430;400.73;8110;197.8;8320;202.93;111;2.71;754;18.39;645.14;15.74;2903.13;70.81;3506;85.51;20115;490.61;3106;75.76;1414.56;20417496;497987.72;8446.45;206.01;5778.14;140.93;1206.09;29.42;9409.96;229.51;5540.88;135.14;479.82;11.7;182.61;4.45;0.14;1321;32.22;5235.8;127.7;4905.4;119.64;4271.94;104.19;11158.72;272.16;10044.58;244.99;5385.95;131.36;7630.19;186.1;4595.31;112.08;3205.24;78.18;3152.1;3081.13;3221.12;3773.36;31;0.76;46;1.12
ZEKROM;Front Flip Freddy;27;9;33.33;7812;289.33;16;0.59;8;0.3;33;1.22;59;2.19;232;8.59;77;2.85;32;1.19;27.12;233.09;53.81;39315;1456.11;24855;920.56;14460;535.56;319;11.81;1255;46.48;6621;245.22;3032;112.3;3589;132.93;37;1.37;308;11.41;728.23;26.97;1723.7;63.84;2547;94.33;7359;272.56;763;28.26;1304.78;11928923;441811.97;6326.05;234.3;2976.42;110.24;423.03;15.67;6536.94;242.11;2879.15;106.64;309.48;11.46;174.56;6.47;0.12;1494;55.33;3604;133.48;2573.8;95.33;2512.11;93.04;7213.39;267.16;6926.03;256.52;2799.44;103.68;5235.39;193.9;3020.12;111.86;1469.94;54.44;2933.36;2938.29;2927.85;3583;11;0.41;16;0.59
[AD];G_Llama;40;25;62.50;8537;213.43;19;0.47;17;0.43;26;0.65;59;1.48;272;6.8;74;1.85;18;0.45;32.2;363.05;46.42;84206;2105.15;60751;1518.78;23455;586.38;735;18.38;2038;50.95;18617;465.42;10485;262.12;8132;203.3;127;3.17;696;17.4;1889.75;47.24;1386.98;34.67;12337;308.42;12069;301.73;1959;48.97;1521.11;20421950;510548.75;6571.09;164.28;5990.01;149.75;1680.39;42.01;9415.43;235.39;4574.61;114.37;251.47;6.29;276.54;6.91;0.14;1977;49.42;3453.8;86.35;5468.2;136.71;4584.64;114.62;9656.87;241.42;8533.38;213.33;5708.16;142.7;6325.4;158.14;4359.7;108.99;3556.39;88.91;2774.48;2719.6;2832.34;3400.46;29;0.73;45;1.12
[BDYN];K105TY;44;20;45.45;14150;321.59;31;0.7;27;0.61;58;1.32;108;2.45;329;7.48;127;2.89;33;0.75;28.7;278.1;52.02;77276;1756.27;45978;1044.95;31298;711.32;584;13.27;2707;61.52;16975;385.8;8466;192.41;8509;193.39;112;2.55;734;16.68;927.98;21.09;2811.55;63.9;5906;134.23;12871;292.52;2777;63.11;1435.16;21618072;491319.81;8974.69;203.97;5798.77;131.79;1391.98;31.64;9922.15;225.5;5700.09;129.55;543.2;12.35;248.77;5.65;0.12;2152;48.91;5092.4;115.74;5050.1;114.78;4302.13;97.78;11863.3;269.62;10608.92;241.11;5556.54;126.28;7845;178.3;5188.04;117.91;3132.44;71.19;3100.2;3084.29;3107.83;3669.07;24;0.55;30;0.68
PB;King;19;1;5.26;6329;333.11;10;0.53;3;0.16;41;2.16;27;1.42;205;10.79;71;3.74;22;1.16;37.04;360.02;54.21;42423;2232.79;30697;1615.63;11726;617.16;407;21.42;1049;55.21;4972;261.68;2990;157.37;1982;104.32;37;1.95;173;9.11;692.45;36.44;1440.57;75.82;5771;303.74;10244;539.16;738;38.84;1477.51;9667431;508812.16;3556.93;187.21;2615.47;137.66;805.39;42.39;4330.88;227.94;2329.5;122.61;317.44;16.71;120.87;6.36;0.14;872;45.89;2961.1;155.85;1865.9;98.21;1694.44;89.18;5283.33;278.07;5421.1;285.32;1556.63;81.93;4315.32;227.12;1870.28;98.44;792.21;41.7;3180.5;3120.1;3244.8;3669.78;13;0.68;16;0.84
[BDYN];King Rocco;30;15;50.00;4601;153.37;8;0.27;9;0.3;15;0.5;29;0.97;211;7.03;83;2.77;27;0.9;27.59;323.43;53.26;59426;1980.87;40332;1344.4;19094;636.47;502;16.73;1669;55.63;11457;381.9;6178;205.93;5279;175.97;83;2.77;456;15.2;1021.77;34.06;1159.27;38.64;8663;288.77;8376;279.2;1314;43.8;1494.36;15321444;510714.81;5099.16;169.97;4833.76;161.13;1099.94;36.66;6716.8;223.89;4093.49;136.45;222.59;7.42;135.12;4.5;0.1;1394;46.47;3919.6;130.65;3558.1;118.6;3146.66;104.89;7886.18;262.87;7242.21;241.41;3790.68;126.36;5424.27;180.81;3351.22;111.71;2257.43;75.25;3268.02;3303.7;3238.8;3696.64;41;1.37;17;0.57
PB;Kxngg.RL;1;0;0.00;450;450;1;1;1;1;1;1;2;2;14;14;3;3;0;0;50;410;55.32;2200;2200;1654;1654;546;546;21;21;52;52;428;428;219;219;209;209;3;3;18;18;36.56;36.56;63.14;63.14;276;276;489;489;80;80;1517;494851;494851;162.94;162.94;145.4;145.4;40.15;40.15;213.33;213.33;118.94;118.94;16.22;16.22;8;8;0.14;58;58;119.1;119.1;129.5;129.5;93.61;93.61;254.89;254.89;225.79;225.79;122.71;122.71;172.92;172.92;95.87;95.87;79.7;79.7;3011;2766;3319;3692;1;1;1;1
