team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
[BSG];Argon;25;7;28.00;8083;323.32;20;0.8;11;0.44;23;0.92;71;2.84;224;8.96;76;3.04;23;0.92;28.17;496.43;55.54;76473;3058.92;58362;2334.48;18111;724.44;747;29.88;1620;64.8;15125;605;10454;418.16;4671;186.84;123;4.92;429;17.16;1067.92;42.72;870.69;34.83;11801;472.04;16492;659.68;1850;74;1734.54;14917132;596685.25;2852.74;114.11;4114.8;164.59;2188.37;87.53;4792.45;191.7;3933.61;157.34;429.83;17.19;195.02;7.8;0.08;2472;98.88;2367;94.68;3545;141.8;2955.49;118.22;6200.41;248.02;6218.57;248.74;2937.34;117.49;4595.91;183.84;2816.79;112.67;1743.2;69.73;3133.95;2881.68;3378.35;3975.31;36;1.44;17;0.68
[BSG];BeeHolder;25;7;28.00;5286;211.44;11;0.44;8;0.32;24;0.96;30;1.2;224;8.96;76;3.04;22;0.88;36.67;312.74;44.48;47102;1884.08;31087;1243.48;16015;640.6;353;14.12;1397;55.88;5505;220.2;2686;107.44;2819;112.76;33;1.32;246;9.84;1432.19;57.29;1038.71;41.55;1977;79.08;4016;160.64;521;20.84;1392.18;11934615;477384.59;5225.33;209.01;3215.49;128.62;700.82;28.03;5559.86;222.39;3339.37;133.57;242.42;9.7;335.39;13.42;0.11;2937;117.48;3774.5;150.98;2259.8;90.39;2146.67;85.87;6995;279.8;6912.53;276.5;2229.09;89.16;5378.25;215.13;2691.01;107.64;1072.4;42.9;3536.28;3696.49;3379.09;3952.68;8;0.32;14;0.56
UWU UWU UWU;Bern1s;22;9;40.91;8180;371.82;17;0.77;12;0.55;43;1.95;54;2.45;190;8.64;64;2.91;20;0.91;31.48;412.68;45.35;51890;2358.64;36576;1662.55;15314;696.09;438;19.91;1304;59.27;10592;481.45;6402;291;4190;190.45;80;3.64;369;16.77;1019.47;46.34;745.11;33.87;9459;429.95;7106;323;1513;68.77;1550.5;11393768;517898.53;3487.7;158.53;3367.49;153.07;995.98;45.27;4702.02;213.73;2831.31;128.7;317.85;14.45;164.27;7.47;0.09;1908;86.73;2125.9;96.63;2678.6;121.75;2380.02;108.18;5471.16;248.69;5240.2;238.19;2611;118.68;3942.66;179.21;2368.61;107.66;1539.89;70;2657.43;2553.52;2739.93;3557.12;16;0.73;16;0.73
[TB];Desolicious;42;20;47.62;13486;321.1;34;0.81;22;0.52;27;0.64;125;2.98;289;6.88;96;2.29;32;0.76;27.2;432.94;47.43;103636;2467.52;76171;1813.6;27465;653.93;880;20.95;2368;56.38;22992;547.43;14224;338.67;8768;208.76;163;3.88;757;18.02;2380.97;56.69;2079.26;49.51;12303;292.93;11332;269.81;1883;44.83;1526.26;21032576;500775.62;6622.75;157.68;5918.92;140.93;2080.77;49.54;8184.55;194.87;5685.82;135.38;752.03;17.91;321.59;7.66;0.15;2021;48.12;3619.8;86.19;5443.8;129.61;4572.55;108.87;10049.87;239.28;8903.71;211.99;5718.71;136.16;6443.45;153.42;4592.84;109.35;3586.14;85.38;2816.63;2731.75;2897.63;3856.68;43;1.02;30;0.71
[ITLS];Front Flip Freddy;31;14;45.16;7392;238.45;15;0.48;13;0.42;32;1.03;51;1.65;253;8.16;72;2.32;25;0.81;29.41;257.65;55.23;52458;1692.19;33226;1071.81;19232;620.39;396;12.77;1711;55.19;9966;321.48;4913;158.48;5053;163;61;1.97;443;14.29;801.16;25.84;1964.98;63.39;3606;116.32;6799;219.32;1262;40.71;1358.47;14905540;480823.88;6884.37;222.08;4119.4;132.88;682.93;22.03;7460.22;240.65;3787.73;122.18;438.75;14.15;211.13;6.81;0.1;2123;68.48;4071.8;131.35;3345.6;107.92;3081.2;99.39;8605.51;277.6;7938.09;256.07;3748.6;120.92;6110.2;197.1;3535.8;114.06;2040.67;65.83;3045.93;3064.26;3023.99;3572.07;5;0.16;18;0.58
[TLC];G_Llama;42;23;54.76;8652;206;20;0.48;27;0.64;24;0.57;65;1.55;302;7.19;91;2.17;20;0.48;30.77;341.51;46.42;85028;2024.48;57988;1380.67;27040;643.81;695;16.55;2384;56.76;17827;424.45;8675;206.55;9152;217.9;101;2.4;800;19.05;1930.22;45.96;1327.43;31.61;14906;354.9;11531;274.55;1464;34.86;1512.15;21626192;514909.34;7139.73;169.99;6146.09;146.34;1954.4;46.53;9998.1;238.05;5002.9;119.12;239.23;5.7;196.93;4.69;0.14;1350;32.14;4195.4;99.89;5530.6;131.68;4748.16;113.05;10492.04;249.81;9362.78;222.92;5877.41;139.94;6990.88;166.45;4548.73;108.3;3700.56;88.11;2755.74;2673.58;2839.48;3356.81;20;0.48;44;1.05
TGS;GreenSleeves;41;24;58.54;20555;501.34;49;1.2;25;0.61;69;1.68;177;4.32;296;7.22;84;2.05;24;0.59;27.68;411.69;49.45;105498;2573.12;70813;1727.15;34685;845.98;857;20.9;3095;75.49;27775;677.44;16183;394.71;11592;282.73;189;4.61;1017;24.8;1864.03;45.46;1154.12;28.15;9604;234.24;13954;340.34;2366;57.71;1545.24;22220578;541965.31;6826.22;166.49;6176.15;150.64;2248.33;54.84;8348.77;203.63;6162.55;150.31;739.39;18.03;272.79;6.65;0.08;3504;85.46;3755.9;91.61;5698.5;138.99;4470.64;109.04;10780.07;262.93;9086.19;221.61;6164.58;150.36;6750.77;164.65;4694.23;114.49;3805.73;92.82;2483.64;2295.52;2663.8;3608.2;50;1.22;37;0.9
[KK];IX Mini;16;4;25.00;7565;472.81;14;0.88;8;0.5;33;2.06;53;3.31;142;8.88;48;3;28;1.75;26.42;418.18;52.13;40079;2504.94;28902;1806.38;11177;698.56;360;22.5;992;62;9166;572.88;5932;370.75;3234;202.12;76;4.75;294;18.38;480.6;30.04;530.42;33.15;5944;371.5;7086;442.88;1776;111;1575.55;8350853;521928.31;2439.41;152.46;2191.06;136.94;1025.37;64.09;3231.19;201.95;2101.57;131.35;323.01;20.19;94.16;5.89;0.13;708;44.25;1717.4;107.34;1962;122.63;1451.05;90.69;4204.75;262.8;3761.78;235.11;1894.03;118.38;2941.13;183.82;1577.9;98.62;1136.75;71.05;2537.86;2291.6;2752.11;3360.02;16;1;16;1
[BSG];JitlerRL;7;1;14.29;2704;386.29;4;0.57;6;0.86;12;1.71;25;3.57;53;7.57;24;3.43;13;1.86;16;426.64;44.84;17141;2448.71;11263;1609;5878;839.71;133;19;532;76;3759;537;2127;303.86;1632;233.14;26;3.71;146;20.86;299.46;42.78;274.5;39.21;3372;481.71;2128;304;401;57.29;1601.85;3730467;532923.88;1040.61;148.66;955.32;136.47;496.25;70.89;1373.47;196.21;1037.44;148.21;81.28;11.61;71.22;10.17;0.09;763;109;781.7;111.67;772.9;110.41;661.45;94.49;1830.74;261.53;1687.43;241.06;804.78;114.97;1270.98;181.57;761.14;108.73;460.08;65.73;2933.07;2757.38;3059.26;3812.09;11;1.57;6;0.86
[KK];King;34;17;50.00;10464;307.76;19;0.56;23;0.68;41;1.21;66;1.94;274;8.06;84;2.47;17;0.5;28.79;378.4;55.19;77309;2273.79;56991;1676.21;20318;597.59;760;22.35;1836;54;11241;330.62;6921;203.56;4320;127.06;91;2.68;395;11.62;993.87;29.23;2349.09;69.09;10354;304.53;19659;578.21;2156;63.41;1516;17317796;509346.94;5812.32;170.95;4783.93;140.7;1605.61;47.22;7473.65;219.81;4164.75;122.49;563.5;16.57;210.92;6.2;0.13;1575;46.32;4227.5;124.34;3729.4;109.69;3045.29;89.57;9156.64;269.31;8640.43;254.13;3561.48;104.75;6569.7;193.23;3641.28;107.1;1990.95;58.56;3025.69;2958.06;3095.19;3448.65;20;0.59;30;0.88
