team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
THE GOONIES;LukeThighWalkr4;48;28;58.33;13558;282.46;34;0.71;23;0.48;45;0.94;110;2.29;362;7.54;101;2.1;29;0.6;30.91;353.75;50.76;106010;2208.54;81329;1694.35;24681;514.19;1011;21.06;2124;44.25;20115;419.06;13039;271.65;7076;147.42;162;3.38;608;12.67;2174.48;45.3;2467.27;51.4;15542;323.79;19236;400.75;2924;60.92;1527.61;25276064;526584.69;7968.19;166;7676.99;159.94;1963.41;40.9;10594.45;220.72;6217.68;129.53;796.43;16.59;397.28;8.28;0.14;2781;57.94;5852.3;121.92;6056;126.17;5295.05;110.31;12313.58;256.53;11450.36;238.55;6158.23;128.3;8309.86;173.12;5767.72;120.16;3530.98;73.56;3287.16;3230.41;3345.12;3969.76;54;1.12;49;1.02
THE GOONIES;OnlyClankers;48;28;58.33;20232;421.5;52;1.08;31;0.65;80;1.67;153;3.19;362;7.54;101;2.1;26;0.54;33.99;306.3;57.25;95327;1985.98;57782;1203.79;37545;782.19;795;16.56;3400;70.83;18586;387.21;8821;183.77;9765;203.44;129;2.69;890;18.54;723.12;15.06;2801.85;58.37;5882;122.54;20765;432.6;3288;68.5;1445.86;23851816;496912.84;9263.37;192.99;6890.94;143.56;1434.82;29.89;11281.6;235.03;5637.04;117.44;670.42;13.97;215.87;4.5;0.11;2018;42.04;6203.4;129.24;5024.8;104.68;4464.36;93.01;13124.7;273.43;11908.92;248.1;5680.06;118.33;8945.16;186.36;5453.53;113.62;3190.43;66.47;3140.79;3141.6;3135.06;3854.29;60;1.25;55;1.15
FLUTTERBYS;Paz;46;29;63.04;17305;376.2;31;0.67;29;0.63;66;1.43;125;2.72;326;7.09;76;1.65;35;0.76;24.8;417.77;52.23;122674;2666.83;81588;1773.65;41086;893.17;987;21.46;3678;79.96;27250;592.39;17030;370.22;10220;222.17;206;4.48;923;20.07;1823.19;39.63;1879.3;40.85;20240;440;17915;389.46;3722;80.91;1611.78;27013854;587257.69;7225.75;157.08;6805.43;147.94;3557.99;77.35;10205.91;221.87;6496.1;141.22;887.24;19.29;357.9;7.78;0.09;4102;89.17;5738.3;124.75;5513.5;119.86;4414.33;95.96;13174.87;286.41;11613.69;252.47;5975.47;129.9;8636.73;187.75;5478.34;119.09;3474.12;75.52;2936.46;2857.11;3008.7;3787.75;95;2.07;25;0.54
DOGE;Pops;57;31;54.39;22873;401.28;50;0.88;29;0.51;87;1.53;156;2.74;436;7.65;111;1.95;40;0.7;32.05;401.65;51.09;139485;2447.11;97914;1717.79;41571;729.32;1170;20.53;3631;63.7;28909;507.18;17389;305.07;11520;202.11;211;3.7;988;17.33;2612.5;45.83;2282.81;40.05;21224;372.35;14815;259.91;2549;44.72;1549.25;30230520;530360;9188.61;161.2;7982.23;140.04;3431.15;60.2;11415.47;200.27;8107.71;142.24;1078.78;18.93;482.32;8.46;0.11;4314;75.68;6821.2;119.67;6559.4;115.08;5377.66;94.34;15224.35;267.09;13823.62;242.52;6778.41;118.92;10530.72;184.75;5989.94;105.09;4081.3;71.6;2973.39;2849.44;3085.28;3664.28;64;1.12;57;1
DOGE;SCOOPS0401;57;31;54.39;16379;287.35;27;0.47;28;0.49;69;1.21;102;1.79;436;7.65;111;1.95;29;0.51;26.47;405.49;45.58;137373;2410.05;102132;1791.79;35241;618.26;1160;20.35;3011;52.82;25712;451.09;16187;283.98;9525;167.11;185;3.25;825;14.47;3674.19;64.46;2046.76;35.91;22337;391.88;13529;237.35;2371;41.6;1514.6;29461768;516873.12;9716.5;170.46;7780.47;136.5;3075.38;53.95;12877.65;225.92;6860.5;120.36;834.23;14.64;228.55;4.01;0.15;1541;27.04;7399.6;129.82;6311.4;110.73;5447.66;95.57;15124.75;265.35;14158.28;248.39;6414.15;112.53;10971.74;192.49;5732.01;100.56;3868.65;67.87;2949.62;2976.84;2919.29;3637.63;80;1.4;66;1.16
THE GOONIES;Toucan;32;10;31.25;11133;347.91;24;0.75;12;0.38;46;1.44;79;2.47;280;8.75;98;3.06;38;1.19;30.38;390.65;52.29;76046;2376.44;58729;1835.28;17317;541.16;733;22.91;1536;48;15147;473.34;9752;304.75;5395;168.59;124;3.88;474;14.81;1472.24;46.01;1272.41;39.76;12481;390.03;14075;439.84;2646;82.69;1621.61;17697036;553032.38;4483.3;140.1;5184.06;162;1926.99;60.22;6785.28;212.04;4292.1;134.13;516.94;16.15;180.8;5.65;0.11;1669;52.16;3537;110.53;3787.6;118.36;3543.66;110.74;8050.63;251.58;7420;231.88;4174.28;130.45;5590.85;174.71;3491.6;109.11;2511.88;78.5;3152.75;3044.6;3250.13;3997.55;57;1.78;17;0.53
T3;Yessah;47;24;51.06;19019;404.66;39;0.83;30;0.64;65;1.38;143;3.04;333;7.09;98;2.09;29;0.62;27.27;409.9;50.59;122275;2601.6;87607;1863.98;34668;737.62;1043;22.19;3134;66.68;28021;596.19;18010;383.19;10011;213;213;4.53;907;19.3;2278.1;48.47;2634.36;56.05;16422;349.4;17984;382.64;3486;74.17;1547.98;25687828;546549.56;7725.31;164.37;7385.2;157.13;2461.62;52.37;10886.94;231.64;5785.53;123.1;899.59;19.14;409.45;8.71;0.09;4494;95.62;5720.9;121.72;5644.8;120.1;4493.8;95.61;13078.35;278.26;11413.51;242.84;6158.61;131.03;8424.13;179.24;5461.32;116.2;3686.65;78.44;3042.73;2893.21;3197.38;3734.53;52;1.11;41;0.87
TRAFFIC CONES;chasedigi;42;15;35.71;7234;172.24;11;0.26;13;0.31;30;0.71;54;1.29;332;7.9;112;2.67;39;0.93;20.37;263.81;53.1;68121;1621.93;39600;942.86;28521;679.07;471;11.21;2532;60.29;8255;196.55;2975;70.83;5280;125.71;34;0.81;471;11.21;1369.29;32.6;1358.27;32.34;4454;106.05;8707;207.31;539;12.83;1312.18;18694824;445114.84;9660.05;230;4763.36;113.41;768.82;18.31;11035.3;262.75;3934.07;93.67;222.85;5.31;124.48;2.96;0.17;756;18;5520.7;131.45;3742.4;89.1;3478.92;82.83;11713.32;278.89;11249.24;267.84;3943.02;93.88;8645.23;205.84;4566.99;108.74;1980.03;47.14;3132.63;3306.87;2966.98;3431.89;16;0.38;48;1.14
DOGE;hotshot.;28;11;39.29;19232;686.86;43;1.54;17;0.61;90;3.21;130;4.64;260;9.29;78;2.79;28;1;33.08;433.61;50.39;77093;2753.32;59225;2115.18;17868;638.14;709;25.32;1561;55.75;14151;505.39;9575;341.96;4576;163.43;109;3.89;405;14.46;1226.5;43.8;1839.34;65.69;9730;347.5;11819;422.11;1358;48.5;1521.34;15165450;541623.19;4935.65;176.27;4162.78;148.67;1519.66;54.27;5727.53;204.55;4136.72;147.74;753.86;26.92;160.69;5.74;0.11;1463;52.25;3476.1;124.15;3408;121.71;2351.55;83.98;8266.58;295.24;7417.82;264.92;3200.3;114.3;5809.64;207.49;2960.23;105.72;1848.26;66.01;2521.06;2281.12;2719.76;3461.61;31;1.11;40;1.43
DOGE;mech_anderdingus;15;5;33.33;3937;262.47;7;0.47;5;0.33;18;1.2;27;1.8;131;8.73;38;2.53;12;0.8;25.93;367.94;48.94;34521;2301.4;25297;1686.47;9224;614.93;302;20.13;807;53.8;7366;491.07;4396;293.07;2970;198;53;3.53;255;17;574.85;38.32;680.7;45.38;4221;281.4;5089;339.27;925;61.67;1570.54;8326059;555070.62;2408.58;160.57;2149.08;143.27;1077.2;71.81;3217.3;214.49;2199.82;146.65;217.74;14.52;100.79;6.72;0.13;778;51.87;1893.4;126.23;1950.8;130.05;1743.3;116.22;3891.56;259.44;3637.68;242.51;1997.14;133.14;2765.98;184.4;1665.4;111.03;1203.51;80.23;3207.76;3177.69;3269.61;3622.2;16;1.07;23;1.53
