team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
TEAM 9;LeagueSon;40;11;27.50;13291;332.27;24;0.6;19;0.47;53;1.33;77;1.92;342;8.55;119;2.97;31;0.77;31.17;336.73;47.82;85219;2130.48;56783;1419.57;28436;710.9;687;17.17;2519;62.97;18105;452.62;9081;227.02;9024;225.6;108;2.7;792;19.8;1352.03;33.8;1359.26;33.98;5375;134.38;12536;313.4;1894;47.35;1474.37;20519514;512987.84;7403.66;185.09;6256.8;156.42;1195.55;29.89;8304.14;207.6;5852.01;146.3;699.88;17.5;392.61;9.82;0.12;3343;83.57;4814.5;120.36;4818.5;120.46;4789.12;119.73;10066.86;251.67;9610.78;240.27;5245.19;131.13;7022.02;175.55;4897.26;122.43;2936.73;73.42;2828.31;2735.65;2907.5;3466.38;43;1.08;28;0.7
[T5];LukeThighWalkr4;43;21;48.84;8634;200.79;19;0.44;10;0.23;32;0.74;54;1.26;357;8.3;97;2.26;34;0.79;35.19;325.52;51.24;84494;1964.98;62938;1463.67;21556;501.3;774;18;1849;43;15082;350.74;9530;221.63;5552;129.12;125;2.91;461;10.72;1776.62;41.32;2143.89;49.86;13630;316.98;14680;341.4;2959;68.81;1475.18;21301852;495391.91;7456.92;173.42;6436.42;149.68;1410.48;32.8;9772.35;227.26;4858.01;112.98;673.49;15.66;343.44;7.99;0.15;2243;52.16;5710.1;132.79;4979.3;115.8;4740.7;110.25;10563.08;245.65;10327.46;240.17;4976.35;115.73;7695.52;178.97;4749.11;110.44;2859.23;66.49;3388.18;3394.33;3368.88;3888.22;50;1.16;33;0.77
[T5];LukeThighWalkr4;31;21;67.74;7661;247.13;16;0.52;19;0.61;20;0.65;67;2.16;212;6.84;64;2.06;18;0.58;23.88;354.93;50.52;68619;2213.52;51502;1661.35;17117;552.16;653;21.06;1480;47.74;13661;440.68;8387;270.55;5274;170.13;100;3.23;447;14.42;1244.48;40.14;1461.61;47.15;9306;300.19;13703;442.03;1674;54;1501.84;16120408;520013.16;5351.21;172.62;5011.67;161.67;1084.04;34.97;7086.21;228.59;3826.51;123.44;534.21;17.23;267.34;8.62;0.14;1914;61.74;4177.6;134.76;3811.8;122.96;3547.87;114.45;7899.05;254.81;7147.51;230.56;4299.46;138.69;5198.99;167.71;3691.88;119.09;2556.11;82.46;3406.11;3326.49;3487.3;4024.83;19;0.61;27;0.87
CPUN;Madness;65;32;49.23;27737;426.72;63;0.97;35;0.54;111;1.71;200;3.08;523;8.05;151;2.32;45;0.69;31.5;444.23;50.52;175168;2694.89;130051;2000.78;45117;694.11;1592;24.49;3827;58.88;32284;496.68;20234;311.29;12050;185.38;238;3.66;985;15.15;2818.77;43.37;3904.25;60.07;24764;380.98;26688;410.58;3060;47.08;1493.23;33955120;522386.47;11815.57;181.78;8820.18;135.7;3503.32;53.9;13619.76;209.53;9151.77;140.8;1367.49;21.04;598.13;9.2;0.17;3547;54.57;7571.3;116.48;7774.7;119.61;6134.71;94.38;18004.39;276.99;16521.71;254.18;7617.27;117.19;12561.34;193.25;7143.99;109.91;4433.72;68.21;2718.66;2657.18;2771.82;3664.43;53;0.82;68;1.05
[BTN];Mini.;79;55;69.62;44307;560.85;115;1.46;45;0.57;177;2.24;320;4.05;530;6.71;144;1.82;48;0.61;35.94;434.7;52.43;209627;2653.51;148457;1879.2;61170;774.3;1877;23.76;5415;68.54;51039;646.06;31927;404.14;19112;241.92;395;5;1703;21.56;2113.32;26.75;2795.57;35.39;30113;381.18;30799;389.86;5064;64.1;1611.09;42964188;543850.5;11557.93;146.3;11357.49;143.77;5433.25;68.78;16122.85;204.09;10343.96;130.94;1881.87;23.82;550.16;6.96;0.11;4836;61.22;9892.7;125.22;8642;109.39;6718.74;85.05;21629.9;273.8;17810.35;225.45;10538.28;133.4;13155.64;166.53;8972.61;113.58;6220.38;78.74;2761.53;2563.98;2982.15;3513.59;71;0.9;70;0.89
[BTN];Paz;63;46;73.02;17167;272.49;39;0.62;49;0.78;50;0.79;128;2.03;438;6.95;121;1.92;47;0.75;30.47;330.75;50.39;127694;2026.89;80658;1280.29;47036;746.6;970;15.4;4173;66.24;20644;327.68;10182;161.62;10462;166.06;122;1.94;940;14.92;1872.93;29.73;2468.94;39.19;12323;195.6;16601;263.51;2281;36.21;1502.58;32539788;516504.56;11407.03;181.06;8827.14;140.11;2860.31;45.4;13387.65;212.5;8567.03;135.98;1139.89;18.09;447.57;7.1;0.09;5160;81.9;9196.9;145.98;6105.1;96.91;5530.49;87.79;17564.01;278.79;15420.18;244.76;7674.26;121.81;11304.21;179.43;7511.6;119.23;4278.72;67.92;2980.23;3006.17;2933.31;3487;54;0.86;63;1
CPUN;Phrez;65;32;49.23;19668;302.58;37;0.57;31;0.48;90;1.38;116;1.78;523;8.05;151;2.32;59;0.91;31.9;323.05;43.57;128792;1981.42;70406;1083.17;58386;898.25;839;12.91;5096;78.4;24788;381.35;8732;134.34;16056;247.02;107;1.65;1405;21.62;3424.93;52.69;1733.53;26.67;13873;213.43;13727;211.18;2093;32.2;1465.5;33374320;513451.06;12295.16;189.16;9309.16;143.22;2567.84;39.51;14321.15;220.33;8925.78;137.32;925.12;14.23;485.33;7.47;0.11;4462;68.65;7667.7;117.96;7727.8;118.89;6765.55;104.09;17406.6;267.79;15982.46;245.88;8189.54;125.99;11925.57;183.47;7675.53;118.09;4570.99;70.32;2848.12;2859.6;2840.64;3591;50;0.77;59;0.91
[T10];Pops;55;31;56.36;20516;373.02;43;0.78;27;0.49;79;1.44;144;2.62;395;7.18;110;2;42;0.76;29.86;369.98;53.37;130072;2364.95;87853;1597.33;42219;767.62;1094;19.89;3712;67.49;26418;480.33;15986;290.65;10432;189.67;211;3.84;923;16.78;2048.09;37.24;2482.73;45.14;18626;338.65;18302;332.76;3901;70.93;1524.31;29658688;539248.88;9734.65;176.99;7574.86;137.72;3253.31;59.15;11402.7;207.32;8067.38;146.68;1092.79;19.87;502.5;9.14;0.11;4413;80.24;7645.6;139.01;5784.6;105.17;5176.67;94.12;15386.16;279.75;13611.31;247.48;6951.54;126.39;10384.12;188.8;5928.89;107.8;4249.83;77.27;2994.18;2977.14;3017.86;3695.06;58;1.05;49;0.89
BOOSTUS SPAWNUS;Ral Days;64;35;54.69;26760;418.12;58;0.91;42;0.66;105;1.64;226;3.53;466;7.28;132;2.06;57;0.89;25.66;449.71;51.84;172920;2701.88;123865;1935.39;49055;766.48;1472;23;4377;68.39;36245;566.33;21954;343.03;14291;223.3;267;4.17;1271;19.86;2353.36;36.77;1763.84;27.56;27239;425.61;17991;281.11;3043;47.55;1563.04;34929288;545770.12;10259.48;160.3;9061.77;141.59;4342.17;67.85;13744.6;214.76;8570.05;133.91;1348.75;21.07;413.36;6.46;0.09;4521;70.64;8538.2;133.41;6729.5;105.15;5922.29;92.54;17741.08;277.2;15182.13;237.22;8481.25;132.52;11487.2;179.49;7045.88;110.09;5130.31;80.16;2858.96;2709.46;3005.06;3679.06;92;1.44;53;0.83
[T10];RenshiroKamazaki;65;30;46.15;14448;222.28;34;0.52;24;0.37;43;0.66;125;1.92;556;8.55;142;2.18;32;0.49;27.2;349.15;46.84;137806;2120.09;93706;1441.63;44100;678.46;1107;17.03;3904;60.06;29066;447.17;16211;249.4;12855;197.77;191;2.94;1124;17.29;2964.02;45.6;1897.2;29.19;24928;383.51;17159;263.98;2956;45.48;1493.77;33310194;512464.53;10772.54;165.73;10900.17;167.69;1977.11;30.42;15857.22;243.96;7267.73;111.81;524.89;8.08;450.12;6.92;0.11;3931;60.48;7079.8;108.92;8294.6;127.61;7457.41;114.73;16192.42;249.11;15463.55;237.9;8186.21;125.94;11409.08;175.52;7513.74;115.6;4726.98;72.72;3087.84;3059.41;3110.59;3689.32;49;0.75;68;1.05
