player name,winrate,goals,assists,saves,shots,shots conceded,goals conceded,amount stolen,amount used while supersonic,time supersonic speed,time on ground,time low in air,time high in air,time in front of ball,time behind ball,time defensive third,time neutral third,time offensive third,demos inflicted,demos taken,WAR
argon,0.575,1.025,0.85,1.275,3.05,7.625,2.125,695.975,450.9,87.67425,189.62574999999998,163.05325,20.2805,126.3125,246.648,169.33800000000002,116.36025,87.26075,1.575,0.775,2.4554082631259226
brictone,0.32432432432432434,0.7297297297297297,0.5135135135135135,1.1891891891891893,2.2972972972972974,9.027027027027026,3.054054054054054,445.6216216216216,307.3243243243243,35.58135135135135,244.03972972972971,115.41945945945947,10.505135135135134,106.24783783783784,263.71702702702703,188.547027027027,116.73054054054053,64.68837837837837,0.5405405405405406,1.0,1.7489060671799768
capijack,0.42857142857142855,0.5714285714285714,0.32142857142857145,1.25,2.0357142857142856,8.535714285714286,2.5,528.6428571428571,334.60714285714283,62.416428571428575,212.40678571428572,137.77928571428572,18.137142857142855,103.87035714285715,264.45285714285717,188.41642857142855,107.02714285714286,72.88000000000001,0.9642857142857143,1.1785714285714286,1.577155584554494
deso,0.7115384615384616,1.2884615384615385,0.75,1.0769230769230769,3.9038461538461537,6.461538461538462,1.7115384615384615,686.8461538461538,493.46153846153845,59.74807692307692,216.54461538461538,143.73211538461538,20.509615384615383,104.9423076923077,275.84423076923076,172.51403846153846,117.8473076923077,90.42576923076923,1.0192307692307692,0.75,2.7763616285105384
fernado,0.6865671641791045,1.0895522388059702,0.7611940298507462,1.4029850746268657,3.1492537313432836,7.313432835820896,2.1940298507462686,471.7761194029851,216.47761194029852,49.205820895522386,234.8071641791045,127.00686567164178,18.814925373134326,101.89850746268657,278.7314925373134,180.2607462686567,127.99149253731343,72.37671641791044,1.1492537313432836,0.9104477611940298,2.4237512668572663
front flip freddy,0.6865671641791045,0.9104477611940298,0.5074626865671642,1.0298507462686568,2.8208955223880596,7.313432835820896,2.1940298507462686,435.67164179104475,193.0597014925373,36.94776119402985,238.29328358208954,124.4465671641791,17.993880597014925,97.86149253731344,282.8710447761194,185.5734328358209,117.29597014925373,77.8634328358209,0.9104477611940298,0.9253731343283582,2.054687834021445
greencheeze,0.5348837209302325,1.2790697674418605,0.627906976744186,1.6046511627906976,4.0,7.767441860465116,2.2325581395348837,553.1860465116279,182.8372093023256,53.700930232558136,198.04186046511626,152.2504651162791,20.5653488372093,102.94186046511628,267.9148837209302,175.72883720930233,114.68790697674419,80.44023255813953,0.7441860465116279,1.0232558139534884,2.680369454986388
hotshot,0.423728813559322,1.1355932203389831,0.6610169491525424,2.389830508474576,3.6610169491525424,8.525423728813559,2.6271186440677967,582.8135593220339,302.22033898305085,49.01288135593221,197.38474576271187,139.3391525423729,25.323050847457626,95.54966101694916,266.49661016949153,182.994406779661,104.93338983050847,74.11728813559323,0.8983050847457628,1.11864406779661,2.596140148719143
jbassfox,0.423728813559322,0.5932203389830508,0.5084745762711864,1.2881355932203389,2.1016949152542375,8.525423728813559,2.6271186440677967,486.7118644067797,216.16949152542372,47.463389830508476,206.47457627118644,143.6798305084746,12.928474576271187,104.47711864406779,258.6050847457627,183.3906779661017,109.27338983050848,70.41898305084746,0.8135593220338984,0.8813559322033898,1.6963943860072788
king,0.7115384615384616,0.8846153846153846,0.5192307692307693,1.0384615384615385,2.7884615384615383,6.461538461538462,1.7115384615384615,422.61538461538464,304.4423076923077,53.37961538461538,225.38230769230768,135.6848076923077,19.395,94.41153846153846,286.0519230769231,193.0853846153846,115.85961538461538,71.51769230769231,0.5576923076923077,0.8461538461538461,2.094102013125923
leagueson,0.36363636363636365,0.6909090909090909,0.6181818181818182,1.4181818181818182,2.5090909090909093,9.272727272727273,3.2545454545454544,569.5090909090909,165.21818181818182,35.06890909090909,203.62763636363638,157.43745454545453,18.786,128.51472727272727,251.33527272727272,174.22054545454543,125.20145454545454,80.42745454545455,1.1454545454545455,0.9818181818181818,1.881656558580468
leon,0.4473684210526316,1.0263157894736843,0.5,1.7105263157894737,3.9210526315789473,7.5,2.3684210526315788,621.2894736842105,276.94736842105266,56.18473684210526,200.48342105263157,136.70052631578946,20.74342105263158,96.91394736842105,261.0128947368421,166.24157894736842,111.54868421052633,80.13684210526316,0.868421052631579,0.9736842105263158,2.4915296447048703
lukethighwalkr4,0.42857142857142855,0.30952380952380953,0.35714285714285715,1.1666666666666667,1.380952380952381,8.523809523809524,2.261904761904762,483.3809523809524,384.6666666666667,40.75142857142857,225.0457142857143,119.14119047619049,20.322142857142858,114.11095238095238,250.39880952380952,174.86238095238096,113.88738095238097,75.75928571428571,1.0952380952380953,1.0714285714285714,1.299530584554494
malmoo,0.48214285714285715,1.0357142857142858,0.5,1.1071428571428572,2.4285714285714284,8.0,2.4464285714285716,422.375,223.67857142857142,34.207499999999996,218.1042857142857,139.80625,14.427142857142856,91.12642857142858,281.21,191.49178571428573,114.11678571428571,66.72875,0.5714285714285714,1.1428571428571428,1.982249334554494
paz,0.4473684210526316,0.2631578947368421,0.4473684210526316,0.9210526315789473,1.3157894736842106,7.5,2.3684210526315788,324.07894736842104,150.07894736842104,38.066315789473684,210.4884210526316,134.58236842105262,13.835263157894737,90.73894736842105,268.1686842105263,183.0378947368421,117.39763157894735,58.47052631578948,0.8947368421052632,0.6578947368421053,1.2663059604943436
peak,0.48936170212765956,1.7234042553191489,0.40425531914893614,2.0851063829787235,4.638297872340425,8.042553191489361,2.702127659574468,506.3191489361702,227.87234042553192,63.15914893617021,180.11978723404255,164.5436170212766,23.116382978723404,96.9,270.8795744680851,176.88127659574468,111.67170212765957,79.22787234042553,0.8723404255319149,1.127659574468085,2.9426339280195397
pops,0.7115384615384616,0.7692307692307693,0.6538461538461539,1.4038461538461537,2.5961538461538463,6.461538461538462,1.7115384615384615,526.3269230769231,328.7692307692308,63.863653846153845,217.6021153846154,144.74692307692308,18.692115384615384,97.06211538461538,283.9798076923077,188.26115384615383,110.69211538461538,82.08730769230769,1.5192307692307692,0.6923076923076923,2.139597205433615
ral days,0.509090909090909,0.8727272727272727,0.7090909090909091,1.7818181818181817,3.1272727272727274,7.381818181818182,2.1636363636363636,480.6181818181818,358.03636363636366,58.56672727272728,210.05090909090907,127.33036363636364,19.33927272727273,80.3449090909091,276.3770909090909,179.492,105.91363636363636,71.31618181818182,1.1636363636363636,0.9818181818181818,2.3273883767622863
renshirokamazaki,0.48214285714285715,0.25,0.5,0.75,1.625,8.0,2.4464285714285716,496.0892857142857,406.92857142857144,36.22982142857143,244.24142857142857,119.41589285714285,8.770714285714286,117.16839285714286,255.26142857142855,180.4775,115.01214285714286,76.93928571428572,1.0892857142857142,1.1785714285714286,1.3665261202687797
roo,0.423728813559322,0.5254237288135594,0.3389830508474576,0.9322033898305084,1.5423728813559323,8.525423728813559,2.6271186440677967,356.47457627118644,358.6779661016949,49.0,233.3093220338983,121.06118644067796,8.586271186440678,94.12389830508475,268.8325423728814,196.8349152542373,104.07135593220339,62.05,1.4576271186440677,0.847457627118644,1.356674047024228
senor brightside,0.509090909090909,0.5636363636363636,0.5636363636363636,1.0545454545454545,1.8545454545454545,7.381818181818182,2.1636363636363636,414.92727272727274,241.45454545454547,33.942181818181815,228.78781818181818,118.4830909090909,9.945636363636364,100.51618181818182,256.7010909090909,176.38400000000001,108.768,72.06509090909091,0.7818181818181819,0.8181818181818182,1.6704656494895591
shaunch,0.42857142857142855,1.0,0.5952380952380952,1.9047619047619047,3.8333333333333335,8.523809523809524,2.261904761904762,619.9761904761905,399.57142857142856,69.62619047619049,198.84047619047618,148.66190476190476,17.68452380952381,96.40904761904761,268.77690476190475,170.38571428571427,114.59690476190475,80.20309523809524,2.5714285714285716,0.8809523809523809,2.5184412988402087
snipey,0.36363636363636365,1.018181818181818,0.5818181818181818,1.4,2.8545454545454545,9.272727272727273,3.2545454545454544,572.290909090909,272.3818181818182,50.68872727272728,231.0010909090909,126.97581818181818,21.980363636363638,117.51218181818182,262.4458181818182,179.48454545454544,116.96345454545454,83.50963636363636,1.309090909090909,1.0727272727272728,2.110033831307741
terminator,0.48214285714285715,1.1607142857142858,0.6607142857142857,2.3392857142857144,3.8035714285714284,8.0,2.4464285714285716,451.8392857142857,194.01785714285714,46.47571428571428,209.25500000000002,141.1182142857143,21.7725,86.90625,285.2405357142857,191.13196428571428,113.22821428571429,67.78696428571429,0.8392857142857143,1.2678571428571428,2.63171362026878
testie,0.509090909090909,0.8545454545454545,0.45454545454545453,0.9090909090909091,2.381818181818182,7.381818181818182,2.1636363636363636,309.6363636363636,115.27272727272727,28.858,203.5007272727273,138.5741818181818,14.423454545454545,97.27781818181818,259.21963636363637,174.19545454545454,114.20400000000001,68.09872727272727,0.2727272727272727,1.0545454545454545,1.8382792858531953
theodorelasso,0.42857142857142855,0.6190476190476191,0.2857142857142857,1.9047619047619047,2.3095238095238093,8.523809523809524,2.261904761904762,332.3333333333333,199.71428571428572,29.951428571428572,234.70642857142857,115.9340476190476,14.723809523809523,86.91142857142857,278.45142857142855,190.6547619047619,111.39857142857143,63.3102380952381,0.6666666666666666,0.9047619047619048,1.6942091559830654
