player name,WAR
peak,3.423296090106067
terminator,3.302883927750635
aarav,3.098217707572604
greensleeves,3.092249779002553
deso,2.5718675757303338
rubber ducky,2.5279894522512287
tipsy,2.4842617685567974
ral days,2.480756963931456
argon,2.3434596189761234
snipey,2.3236504606522876
vpr.vnm,2.3158330623303063
fernado,2.284826649624548
pops,2.094428204162063
leagueson,2.0619804029308875
arby,1.9222337911907252
tortle,1.8
king,1.7252228908574374
front flip freddy,1.6786637427619917
testie,1.6650010453956798
tophatbear,1.6293521660853336
dies,1.5783504060160958
capijack,1.3909761468329354
awe,1.360226175603703
lukethighwalkr4,1.3086626891499806
renshirokamazaki,1.1805698662202262
paz,0.9891875786718497
