player name,winrate,goals,assists,saves,shots,shots conceded,goals conceded,amount stolen,amount used while supersonic,time supersonic speed,time on ground,time low in air,time high in air,time in front of ball,time behind ball,time defensive third,time neutral third,time offensive third,demos inflicted,demos taken,WAR
0riginalgamer,0.2857142857142857,0.8095238095238095,0.47619047619047616,1.4761904761904763,3.0476190476190474,7.9523809523809526,2.380952380952381,652.1428571428571,306.2857142857143,57.016666666666666,195.17,144.94476190476192,19.595714285714287,101.97476190476189,257.7366666666667,172.4961904761905,110.75666666666666,76.46142857142857,0.8095238095238095,1.0476190476190477,2.230391667537012
bylebukong,0.41935483870967744,1.032258064516129,0.3064516129032258,1.2741935483870968,2.9193548387096775,7.951612903225806,2.6774193548387095,634.8548387096774,320.8709677419355,65.16129032258064,206.36532258064514,142.84645161290322,16.011290322580646,115.10161290322581,250.12145161290323,174.04806451612902,114.00177419354839,77.17225806451613,1.467741935483871,1.0161290322580645,2.1209523434202686
chyaboi,0.21052631578947367,0.7368421052631579,0.3684210526315789,1.105263157894737,3.4210526315789473,8.368421052631579,3.3157894736842106,589.2631578947369,481.94736842105266,64.0421052631579,208.71263157894737,146.46736842105264,18.315263157894737,100.47263157894737,273.0221052631579,188.68842105263158,109.58368421052633,75.22315789473684,0.9473684210526315,0.7894736842105263,1.9330244996172123
deso,0.5555555555555556,0.9523809523809523,0.5396825396825397,0.9206349206349206,2.8095238095238093,6.523809523809524,1.9682539682539681,542.4920634920635,369.968253968254,51.348888888888894,198.63571428571427,144.53936507936507,15.588571428571429,110.32222222222221,248.44174603174602,166.39968253968254,109.02174603174603,83.34285714285714,0.746031746031746,0.9047619047619048,2.2132170643624085
dies,0.3103448275862069,0.7241379310344828,0.4827586206896552,1.206896551724138,2.0,7.758620689655173,3.206896551724138,353.7931034482759,53.03448275862069,26.46034482758621,220.01413793103447,131.1293103448276,11.398275862068965,105.56206896551724,256.9806896551724,181.37655172413793,114.01586206896552,67.15034482758621,0.41379310344827586,0.8620689655172413,1.717733211050969
domo,0.5192307692307693,0.23076923076923078,0.38461538461538464,0.7884615384615384,1.0769230769230769,6.423076923076923,2.1538461538461537,418.9807692307692,167.21153846153845,30.134038461538463,242.64826923076922,103.97634615384617,14.814807692307692,100.31557692307692,261.12365384615384,184.1273076923077,113.58096153846154,63.73288461538462,0.5192307692307693,0.6923076923076923,1.5676778396981839
fernado,0.5192307692307693,1.1346153846153846,0.5384615384615384,1.3076923076923077,3.423076923076923,6.423076923076923,2.1538461538461537,470.71153846153845,210.03846153846155,53.06384615384616,211.8944230769231,131.10403846153847,17.92134615384615,91.70538461538462,269.2151923076923,169.06519230769229,117.99499999999999,73.8601923076923,0.9615384615384616,0.9038461538461539,2.408879762775107
gabefrfx,0.4576271186440678,0.3728813559322034,0.4745762711864407,0.8983050847457628,1.6101694915254237,6.711864406779661,2.23728813559322,325.49152542372883,205.23728813559322,28.599491525423726,245.5606779661017,119.29627118644068,6.916610169491525,78.57322033898305,293.2006779661017,197.79796610169493,114.41796610169492,59.557966101694916,0.7288135593220338,0.7457627118644068,1.672663661080192
glacidus,0.25,0.775,0.425,1.65,3.075,8.15,2.825,461.525,177.475,37.07325,201.384,148.825,16.707,111.03824999999999,255.87824999999998,166.554,118.60875000000001,81.75399999999999,0.325,0.725,2.077492262775107
greensleeves,0.6792452830188679,1.6981132075471699,0.5660377358490566,1.0943396226415094,4.471698113207547,6.018867924528302,2.0,733.5471698113207,261.2830188679245,59.560188679245286,197.44754716981132,147.77377358490565,17.362075471698112,108.88528301886792,253.69867924528302,152.25603773584905,114.86943396226415,95.45962264150943,1.2452830188679245,0.9433962264150944,2.870186366548692
