replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
8f10ecf5-7280-4109-adc4-646017d8ca20;61941_Game2.replay;Mannfield (Night);2024-07-23 02:30:35;win;[T5];CANCUN;ElatedThug;4284;Fennec;357;1;0;2;3;7;1;1;33.33;308;48.11;1852;1068;784;13;68;214;93;121;2;11;54.88;18.23;53;234;109;1414;467065;187.43;53.46;136.44;38.91;26.75;7.63;205.03;58.48;137.97;39.35;7.62;2.17;4.88;0.08;60;149.7;42.65;80.8;23.02;86.5;24.67;264.11;75.33;86.5;24.67;257.12;73.34;93.49;26.66;203.66;58.09;100.08;28.54;46.87;13.37;3243;3234;3267;3604;0;0
8f10ecf5-7280-4109-adc4-646017d8ca20;61941_Game2.replay;Mannfield (Night);2024-07-23 02:30:35;win;[T5];CANCUN;LeagueSon;4284;Fennec;475;1;1;2;2;7;1;0;50;297;50.91;1928;1258;670;15;61;621;404;217;5;19;24.71;29.28;83;201;96;1478;490372;178.68;50.97;142.64;40.69;29.22;8.34;207.14;59.09;130.03;37.09;13.38;3.82;8.5;0.11;78;79.4;22.62;131.3;37.41;121.6;34.69;228.94;65.31;121.6;34.69;220.65;62.95;129.89;37.05;172.75;49.28;99.38;28.35;78.41;22.37;3020;2660;3161;3616;1;0
85920d3a-788b-4ae5-aa6e-9fdb84c8d576;61941_Game3.replay;Mannfield (Night);2024-07-23 02:38:07;win;CANCUN;[T5];Sales;23;Octane;492;2;0;2;3;9;1;0;66.67;387;44.8;2287;1678;609;19;54;332;145;187;2;17;69.5;17.69;305;196;28;1442;487502;198.7;53.86;125.74;34.08;44.5;12.06;225.69;61.17;129.63;35.14;13.62;3.69;8.58;0.13;65;123.3;33.15;125.5;33.74;76.58;20.76;292.37;79.24;76.58;20.76;249.82;67.71;119.13;32.29;205.37;55.66;86.25;23.38;77.32;20.96;3052;3031;3101;3670;1;1
85920d3a-788b-4ae5-aa6e-9fdb84c8d576;61941_Game3.replay;Mannfield (Night);2024-07-23 02:38:07;win;CANCUN;[T5];GreenSleeves;23;Octane;888;3;1;4;3;9;1;0;100;402;42.52;2350;1471;879;15;81;463;200;263;2;23;45.65;15.02;101;57;6;1470;504184;189.97;51.06;130.95;35.2;51.14;13.75;204.55;54.98;155.32;41.74;12.2;3.28;8.46;0.08;110;85.1;22.88;128.8;34.62;94.62;25.43;277.45;74.57;94.62;25.43;232.69;62.54;139.37;37.46;168.86;45.39;114.49;30.77;88.71;23.84;2819;2338;3335;3444;0;0
85920d3a-788b-4ae5-aa6e-9fdb84c8d576;61941_Game3.replay;Mannfield (Night);2024-07-23 02:38:07;win;CANCUN;[T5];King Rocco;4770;Dominus;223;1;0;1;1;9;1;1;100;241;59.2;1464;1012;452;15;44;297;199;98;3;9;9.31;66.46;157;540;106;1360;453015;220.13;60.18;121;33.08;24.66;6.74;238.28;65.14;118.8;32.48;8.71;2.38;5.34;0.12;46;150.4;40.43;89.6;24.09;74.24;20.3;291.55;79.7;74.24;20.3;262.62;71.8;103.16;28.2;213.75;58.44;97.57;26.67;54.46;14.89;3191;3392;2996;3621;0;2
85920d3a-788b-4ae5-aa6e-9fdb84c8d576;61941_Game3.replay;Mannfield (Night);2024-07-23 02:38:07;loss;[T5];CANCUN;Fernado;23;Octane;351;1;0;1;3;7;6;5;33.33;381;54.05;2236;1360;876;18;78;350;182;168;3;16;30.22;30.01;155;443;98;1605;543492;153.54;41.59;155.49;42.12;60.13;16.29;209.09;56.64;143.26;38.81;16.81;4.55;6.85;0.1;72;127;34.14;118.9;31.96;104.07;28.19;265.09;71.81;104.07;28.19;252.83;68.49;116.34;31.51;185;50.11;124.72;33.78;59.45;16.1;2710;2635;2688;3655;0;1
85920d3a-788b-4ae5-aa6e-9fdb84c8d576;61941_Game3.replay;Mannfield (Night);2024-07-23 02:38:07;loss;[T5];CANCUN;ElatedThug;4284;Fennec;152;0;0;0;3;7;6;0;0;370;50.48;2269;1487;782;17;70;497;355;142;4;14;27.44;19.96;205;236;49;1465;499945;186.59;50.15;149.74;40.25;35.7;9.6;223.16;59.98;144.25;38.77;4.62;1.24;5.71;0.08;70;126.4;33.98;100.8;27.1;112.9;30.35;259.13;69.65;112.9;30.35;256.18;68.86;115.85;31.14;180.5;48.52;117.25;31.52;74.28;19.97;3356;3587;3130;3772;0;0
85920d3a-788b-4ae5-aa6e-9fdb84c8d576;61941_Game3.replay;Mannfield (Night);2024-07-23 02:38:07;loss;[T5];CANCUN;LeagueSon;4284;Fennec;190;0;0;1;3;7;6;1;0;358;53.03;2469;1966;503;24;47;721;512;209;7;20;24.8;43.09;145;456;189;1524;521078;174.49;46.89;154.73;41.58;42.92;11.53;196.84;52.9;164.71;44.26;10.58;2.84;7.9;0.11;73;93.6;25.16;123.9;33.31;131.74;35.4;240.4;64.6;131.74;35.4;214.83;57.73;157.3;42.27;173.89;46.73;97.88;26.3;100.36;26.97;2835;2534;3136;3617;3;0
92eeeba8-30d2-4120-91d8-675e95853886;61941_Game4.replay;Mannfield (Night);2024-07-23 02:44:40;loss;CANCUN;[T5];Sales;23;Octane;76;0;0;0;1;9;4;2;0;374;41.16;1929;1320;609;14;53;422;182;240;2;20;68.45;17.79;331;90;17;1565;504403;144.4;42.23;138.55;40.52;58.98;17.25;184.76;54.03;150.34;43.97;6.83;2;3.87;0.09;42;82.1;24.01;125;36.55;116.22;33.99;225.71;66.01;116.22;33.99;208.48;60.97;133.45;39.03;152.26;44.53;102.21;29.89;87.46;25.58;2961;2741;3030;3592;1;0
92eeeba8-30d2-4120-91d8-675e95853886;61941_Game4.replay;Mannfield (Night);2024-07-23 02:44:40;loss;CANCUN;[T5];King Rocco;4770;Dominus;96;0;0;0;0;9;4;2;0;219;56.12;1374;966;408;12;37;311;232;79;3;7;31.35;59.99;112;270;71;1320;425154;210.98;61.68;115.38;33.73;15.67;4.58;212.31;62.07;115.04;33.63;14.68;4.29;6.4;0.12;54;145.1;42.43;106.4;31.11;88.78;25.96;253.25;74.04;88.78;25.96;246.92;72.19;95.11;27.81;184.4;53.91;109.07;31.89;48.56;14.2;3264;3244;3292;3645;0;0
92eeeba8-30d2-4120-91d8-675e95853886;61941_Game4.replay;Mannfield (Night);2024-07-23 02:44:40;loss;CANCUN;[T5];GreenSleeves;23;Octane;319;0;0;3;1;9;4;0;0;434;49.7;2348;1705;643;21;58;488;300;188;3;16;51.48;12.05;187;249;0;1453;469364;171.25;50.08;122.06;35.7;48.62;14.22;182.35;53.33;135.62;39.66;23.96;7.01;9.09;0.09;105;105.8;30.94;94;27.49;82.18;24.03;259.74;75.97;82.18;24.03;234.76;68.66;107.17;31.34;173.33;50.69;110.61;32.35;57.98;16.96;2770;2771;2770;3615;2;0
92eeeba8-30d2-4120-91d8-675e95853886;61941_Game4.replay;Mannfield (Night);2024-07-23 02:44:40;win;[T5];CANCUN;LeagueSon;4284;Fennec;537;3;0;1;4;2;0;0;75;334;48.21;1951;1400;551;20;50;671;487;184;8;17;19.84;33.85;67;527;228;1513;482948;153.95;45.48;152.54;45.07;31.99;9.45;179.97;53.17;146.85;43.39;11.66;3.44;8.03;0.1;77;63.7;18.63;151.4;44.27;125.21;36.99;213.27;63.01;125.21;36.99;176.85;52.25;161.62;47.75;121.26;35.82;116.33;34.37;100.89;29.81;2980;2988;3025;3664;0;1
92eeeba8-30d2-4120-91d8-675e95853886;61941_Game4.replay;Mannfield (Night);2024-07-23 02:44:40;win;[T5];CANCUN;ElatedThug;4284;Fennec;250;0;2;1;2;2;0;0;0;320;52.25;1934;1274;660;15;60;292;100;192;1;17;22.92;22.15;185;253;0;1375;442780;197.54;57.76;122.16;35.72;22.29;6.52;213.86;62.53;113.16;33.09;14.98;4.38;8.74;0.13;68;167;48.83;65.6;19.18;57.95;16.94;284.04;83.06;57.95;16.94;235.18;68.77;106.82;31.23;184.5;53.95;102.06;29.84;55.43;16.21;3027;3123;2762;3545;0;0
92eeeba8-30d2-4120-91d8-675e95853886;61941_Game4.replay;Mannfield (Night);2024-07-23 02:44:40;win;[T5];CANCUN;Fernado;23;Octane;352;1;1;0;3;2;0;0;33.33;395;47.36;2146;1313;833;15;65;579;200;379;2;26;35.86;30.22;290;197;0;1622;514703;129.6;38.58;153.19;45.6;53.12;15.81;195.06;58.07;125.94;37.49;14.91;4.44;6.57;0.09;75;96.5;28.22;107.8;31.52;84.57;25.18;251.33;74.82;84.57;25.18;197.99;58.94;137.91;41.06;145.61;43.35;110.73;32.96;79.57;23.69;2454;2357;2639;3464;0;2
e343b82a-51f5-4ff1-8148-147881a6c7fb;61941_Game5.replay;Mannfield (Night);2024-07-23 02:50:54;win;CANCUN;[T5];Sales;23;Octane;328;1;0;1;3;2;0;0;33.33;383;44.16;2064;1396;668;15;52;466;253;213;3;20;56.64;20.12;339;110;46;1491;465333;149.48;46.17;133.84;41.34;40.42;12.49;184.09;56.87;127.59;39.41;12.04;3.72;6.44;0.11;56;88.2;27.31;121.9;37.74;81.37;25.13;242.37;74.87;81.37;25.13;189.79;58.62;133.95;41.38;138.09;42.65;107.39;33.17;78.26;24.17;2835;2770;2907;3455;1;0
e343b82a-51f5-4ff1-8148-147881a6c7fb;61941_Game5.replay;Mannfield (Night);2024-07-23 02:50:54;win;CANCUN;[T5];GreenSleeves;23;Octane;358;1;0;0;5;2;0;0;20;420;50.64;2278;1556;722;20;63;876;642;234;8;21;54.34;14.21;276;191;87;1505;469663;149;46.03;128.41;39.67;46.29;14.3;170.59;52.7;135.86;41.97;17.24;5.33;6.88;0.09;79;94.3;29.2;112.9;34.95;68.41;21.13;255.29;78.87;68.41;21.13;205.39;63.45;118.31;36.55;152.17;47.01;98.46;30.42;73.06;22.57;2458;2460;2455;3486;0;0
