replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
d2dcf352-9c2c-4bd0-b69e-4fdbcc4a4a3e;91480_Game1.replay;Forbidden Temple (Day);2025-10-01 18:23:56;loss;THE GOONIES;;secret gral;4284;Fennec;236;0;2;1;0;10;6;1;0;303;46.97;1901;1332;569;16;51;55;0;55;0;5;54.27;20.27;118;294;0;1314;445584;232.99;62.07;128.92;34.34;13.46;3.59;273.37;72.82;92.78;24.72;9.23;2.46;2.37;0.2;12;194.2;50.7;174.2;45.48;105.24;28.04;270.14;71.96;105.24;28.04;295.35;78.68;80.03;21.32;220.71;58.8;125.6;33.46;29.07;7.74;3126;3052;3043;3212;0;2
5d319075-4613-41e4-a740-642b1af8adbe;86909_Game2.replay;Mannfield (Night);2025-10-01 18:27:46;loss;DOGE;THE GOONIES;mech_anderdingus;23;Octane;210;0;0;2;2;11;3;1;0;380;49.34;1984;1403;581;17;46;380;198;182;2;16;22.63;24.99;303;314;7;1592;512243;147.82;42.6;124.87;35.99;74.27;21.41;185.78;53.55;141.1;40.67;20.08;5.79;4.83;0.11;42;137.4;38.7;126.7;35.69;99.65;28.72;247.32;71.28;99.65;28.72;245.39;70.73;101.57;29.27;192.28;55.42;97.57;28.12;57.12;16.46;3160;3046;3317;3683;0;2
5d319075-4613-41e4-a740-642b1af8adbe;86909_Game2.replay;Mannfield (Night);2025-10-01 18:27:46;loss;DOGE;THE GOONIES;hot;4284;Fennec;534;2;0;1;4;11;3;1;50;400;49.8;2311;1658;653;18;59;776;576;200;6;17;65.64;44.38;160;164;23;1512;495271;160.64;45.73;145.59;41.44;45.06;12.83;195.46;55.64;131.92;37.55;23.9;6.8;3.82;0.1;39;78.8;22.2;132.8;37.41;114.04;32.46;237.25;67.54;114.04;32.46;229.11;65.22;122.18;34.78;175.54;49.97;101.44;28.88;74.31;21.15;2639;2496;2782;3274;0;1
5d319075-4613-41e4-a740-642b1af8adbe;86909_Game2.replay;Mannfield (Night);2025-10-01 18:27:46;loss;DOGE;THE GOONIES;GoW_Caaloz;23;Octane;211;0;0;2;1;11;3;1;0;236;61.46;1424;683;741;10;66;186;41;145;1;14;9.32;27.2;132;343;69;1388;454779;197.67;56.22;138.48;39.39;15.42;4.39;278.17;79.12;71.84;20.43;1.57;0.45;4.79;0.17;28;132.2;37.24;77.3;21.77;88.63;25.21;262.95;74.79;88.63;25.21;268.27;76.3;83.31;23.7;201.37;57.28;110.18;31.34;40.03;11.39;2680;2757;2590;3212;1;1
5d319075-4613-41e4-a740-642b1af8adbe;86909_Game2.replay;Mannfield (Night);2025-10-01 18:27:46;win;THE GOONIES;DOGE;Gilan;4284;Fennec;124;0;0;0;1;7;2;0;0;322;50.47;1947;1311;636;16;57;464;300;164;3;14;48.4;41.61;206;316;4;1474;484102;185.04;52.64;132.79;37.78;33.67;9.58;215.7;61.37;121.31;34.51;14.49;4.12;5.8;0.08;76;130.3;36.7;91.7;25.83;87.17;24.8;264.34;75.2;87.17;24.8;243.13;69.17;108.37;30.83;180.97;51.49;108.3;30.81;62.23;17.7;3259;3154;3415;3703;1;1
5d319075-4613-41e4-a740-642b1af8adbe;86909_Game2.replay;Mannfield (Night);2025-10-01 18:27:46;win;THE GOONIES;DOGE;Argon;23;Octane;471;1;2;1;4;7;2;1;25;496;50.73;3014;2356;658;30;59;622;358;264;5;24;52.85;27.63;377;656;145;1731;574933;115.91;32.68;162.2;45.74;76.52;21.58;177.35;50.01;159.38;44.94;17.9;5.05;6.88;0.09;78;91.6;25.8;119.7;33.72;109.36;30.84;245.27;69.16;109.36;30.84;210.68;59.41;143.95;40.59;153.7;43.34;107.54;30.32;93.39;26.33;3406;2957;3996;3908;1;0
5d319075-4613-41e4-a740-642b1af8adbe;86909_Game2.replay;Mannfield (Night);2025-10-01 18:27:46;win;THE GOONIES;DOGE;Toucan;23;Octane;559;2;0;3;6;7;2;1;33.33;372;43.43;2148;1574;574;19;51;332;152;180;2;17;69.62;28.77;289;236;47;1611;533445;145.54;41.06;150.08;42.34;58.88;16.61;212.72;60.01;129.41;36.51;12.36;3.49;7.58;0.11;69;118;33.24;126.7;35.69;86.45;24.39;268.04;75.61;86.45;24.39;221.35;62.44;133.14;37.56;162.07;45.72;110.4;31.14;82.03;23.14;3004;2873;3112;3789;2;0
2324e5cc-4824-4ed7-ba0d-01372becea26;86909_Game3.replay;Mannfield (Night);2025-10-01 18:34:13;loss;DOGE;THE GOONIES;mech_anderdingus;4284;Fennec;173;0;0;1;1;11;2;0;0;368;46.8;2015;1474;541;18;48;493;300;193;3;16;33.2;19.42;294;325;0;1522;477950;151.1;46.32;112.48;34.48;62.62;19.2;191.09;58.58;127.09;38.96;8.03;2.46;8.41;0.13;67;135.1;41.44;93.8;28.77;92.15;28.25;234.05;71.75;92.15;28.25;222.94;68.34;103.27;31.66;178.32;54.67;79.85;24.48;68.03;20.86;2876;2719;3079;3261;1;0
2324e5cc-4824-4ed7-ba0d-01372becea26;86909_Game3.replay;Mannfield (Night);2025-10-01 18:34:13;loss;DOGE;THE GOONIES;hot;4284;Fennec;601;0;0;6;6;11;2;1;0;478;48.23;2445;1845;600;21;56;584;377;207;4;18;53.15;37.77;307;278;22;1529;476823;140.52;43.47;137.13;42.42;45.63;14.11;167.2;51.72;130.45;40.35;25.63;7.93;5.42;0.1;56;80;24.54;130.6;40.06;113.03;34.96;210.26;65.04;113.03;34.96;208.68;64.55;114.61;35.45;162.13;50.15;92.23;28.53;68.92;21.32;2189;1989;2424;3369;0;1
2324e5cc-4824-4ed7-ba0d-01372becea26;86909_Game3.replay;Mannfield (Night);2025-10-01 18:34:13;loss;DOGE;THE GOONIES;GoW_Caaloz;23;Octane;90;0;0;0;2;11;2;1;0;235;49.56;1273;534;739;6;64;180;0;180;0;15;10.87;7.02;90;68;0;1327;407673;190.32;59.81;115.19;36.2;12.71;3.99;241.08;75.76;77.14;24.24;0;0;4.83;0.19;25;112.4;34.48;97.8;30;104.31;32.78;213.91;67.22;104.31;32.78;221.62;69.65;96.59;30.35;154.36;48.51;111.87;35.16;51.98;16.34;2721;2739;2667;3068;0;2
