replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
79faa8e5-e141-4692-88de-a9d4fe14117a;65191_Game3.replay;AquaDome (Salty Shallows);2024-04-16 03:17:19;win;LARBYS;[MEAT];Front Flip Freddy;4284;Fennec;388;1;2;2;1;7;2;0;100;309;53.44;1841;1225;616;15;56;60;0;60;0;5;30.18;35.71;112;71;0;1351;446534;207.69;58.75;117.98;33.37;27.84;7.88;226.27;64.01;115.86;32.78;11.37;3.22;7.43;0.08;90;166.3;47.11;81.9;23.2;86.32;24.42;267.19;75.58;86.32;24.42;282.73;79.98;70.77;20.02;229.2;64.84;91.12;25.78;33.19;9.39;3365;3410;3313;3675;0;0
79faa8e5-e141-4692-88de-a9d4fe14117a;65191_Game3.replay;AquaDome (Salty Shallows);2024-04-16 03:17:19;win;LARBYS;[MEAT];TiPSY0;4284;Fennec;226;0;0;2;1;7;2;1;0;323;54.36;1961;1276;685;14;58;525;315;210;4;20;34.46;43.79;198;170;93;1498;487448;168.38;48.48;141.34;40.7;37.57;10.82;201.03;57.89;126.92;36.55;19.34;5.57;5.51;0.11;51;67;18.98;158.4;44.87;138.4;39.85;208.89;60.15;138.4;39.85;233.06;67.11;114.23;32.89;176.71;50.88;108.19;31.15;62.39;17.96;2747;2730;2776;3577;2;2
0b26e8ac-f285-4e4b-b13d-40e53349172e;83192_Game1.replay;Champions Field;2024-04-16 03:20:11;loss;[LAB];[RAP];G_Llama;23;Octane;234;1;1;0;3;13;4;1;33.33;326;39.41;2109;1373;736;15;62;169;0;169;0;14;73.79;28.49;378;134;0;1537;515213;172.26;47.25;148.61;40.76;43.73;11.99;246.92;67.72;109.09;29.92;8.6;2.36;5.18;0.14;36;108.4;29.38;114.4;31;126.27;34.63;238.34;65.37;126.27;34.63;254.71;69.86;109.89;30.14;183.81;50.41;117.49;32.22;63.3;17.36;2846;2905;2769;3327;0;1
0b26e8ac-f285-4e4b-b13d-40e53349172e;83192_Game1.replay;Champions Field;2024-04-16 03:20:11;loss;[LAB];[RAP];GreenSleeves;23;Octane;575;1;0;3;3;13;4;3;33.33;361;43.63;2063;1278;785;14;72;731;459;272;5;24;61.97;17.85;295;126;19;1524;500980;166.59;46.5;143.14;39.96;48.5;13.54;204.46;57.08;144.91;40.45;8.86;2.47;4.56;0.06;71;124.3;33.69;132.9;36.02;113.89;31.79;244.34;68.21;113.89;31.79;224.6;62.7;133.64;37.3;181.62;50.7;102.21;28.53;74.4;20.77;2540;2431;2663;3564;0;3
0b26e8ac-f285-4e4b-b13d-40e53349172e;83192_Game1.replay;Champions Field;2024-04-16 03:20:11;loss;[LAB];[RAP];testie;3157;Maverick GXT;274;1;0;1;1;13;4;0;100;358;54.8;2385;1833;552;24;47;279;186;93;2;8;32.06;38.73;77;572;13;1493;496253;175.55;48.44;157.57;43.48;29.31;8.09;211.08;58.24;150.62;41.56;0.74;0.2;4.72;0.13;37;123;33.33;94;25.47;98.27;27.11;264.16;72.89;98.27;27.11;258.66;71.37;103.77;28.63;210.82;58.17;93.5;25.8;58.11;16.03;2845;2822;2878;3296;0;2
0b26e8ac-f285-4e4b-b13d-40e53349172e;83192_Game1.replay;Champions Field;2024-04-16 03:20:11;win;[RAP];[LAB];Waycey;23;Octane;110;0;0;0;3;7;3;2;0;355;48.29;2074;1190;884;13;81;336;97;239;1;21;33.37;25.76;178;101;6;1567;530636;159.81;43.37;169.45;45.98;39.23;10.65;263.34;71.46;98.72;26.79;6.43;1.74;8.4;0.12;68;143.6;38.92;105.2;28.51;98.17;26.64;270.31;73.36;98.17;26.64;241.9;65.65;126.59;34.35;168.44;45.71;122.3;33.19;77.75;21.1;3366;3209;3493;3859;1;0
0b26e8ac-f285-4e4b-b13d-40e53349172e;83192_Game1.replay;Champions Field;2024-04-16 03:20:11;win;[RAP];[LAB];2Cans;4284;Fennec;498;2;2;1;4;7;3;0;50;451;53.17;2717;2262;455;29;39;431;285;146;5;13;49.8;50.34;257;645;218;1528;517268;166.89;45.27;152.77;41.44;49.02;13.3;222.42;60.33;132.91;36.05;13.35;3.62;6.49;0.1;64;97.8;26.5;113;30.62;105.73;28.68;262.95;71.32;105.73;28.68;233.13;63.23;135.56;36.77;173.67;47.11;112.15;30.42;82.86;22.47;2751;2828;2708;3602;3;0
0b26e8ac-f285-4e4b-b13d-40e53349172e;83192_Game1.replay;Champions Field;2024-04-16 03:20:11;win;[RAP];[LAB];mechy ducky;403;Dominus;648;2;2;2;6;7;3;1;33.33;374;46.16;2245;1421;824;17;75;620;280;340;3;32;41.61;26.35;457;299;31;1639;553003;150.3;40.77;156.35;42.41;62.04;16.83;225.82;61.25;132.72;36;10.15;2.75;2.61;0.07;36;100.4;27.21;124.1;33.63;111.5;30.24;257.19;69.76;111.5;30.24;221.82;60.17;146.86;39.83;164.71;44.67;108.21;29.35;95.77;25.98;2777;2845;2722;3612;2;0
990889ef-4557-4753-a6f9-7ead53017373;65191_Game2.replay;AquaDome (Salty Shallows);2024-04-16 03:25:07;win;[MEAT];LARBYS;ARBY_.;4284;Fennec;200;1;0;0;4;5;1;0;25;393;49.4;2451;1721;730;21;70;849;603;246;7;23;50.12;26.61;236;424;104;1478;491248;171.98;48.46;152;42.83;30.94;8.72;222.84;62.79;112.62;31.73;19.46;5.48;11.55;0.15;79;82.2;22.96;130.8;36.54;121.21;34.15;233.71;65.85;121.21;34.15;198.1;55.82;156.82;44.18;142.21;40.07;119.63;33.71;93.09;26.23;2852;2724;2996;3742;0;1
990889ef-4557-4753-a6f9-7ead53017373;65191_Game2.replay;AquaDome (Salty Shallows);2024-04-16 03:25:07;win;[MEAT];LARBYS;LukeThighWalkr4;23;Octane;409;1;2;1;2;5;1;0;50;432;49.91;2479;2024;455;23;40;482;368;114;4;10;42.25;42.89;341;281;38;1541;511626;151.68;42.78;155.45;43.84;47.43;13.38;199.76;56.34;143.25;40.4;11.54;3.25;6.06;0.13;47;115.8;32.35;135.6;37.88;120;33.84;234.56;66.16;120;33.84;211.31;59.6;143.24;40.4;153.66;43.34;112.96;31.86;87.94;24.8;3130;3082;3172;3970;1;1
