player name,WAR
peak,3.6323757227656293
mini,3.272816729067066
greensleeves,3.0051885772894273
terminator,2.958892426271179
chyaboi,2.909849480790118
hotshot,2.8102535172028573
keaters,2.7851541537649536
ral days,2.61306962081736
dies,2.6087922068445373
alex,2.4993410876438396
deso,2.4359171037468896
vpr.vnm,2.3179107355944146
aarav,2.316863909046667
leon,2.2202871802956663
tipsy,2.1763726324433423
argon,2.1510340251612794
capijack,2.0884282645945893
luma,2.0745494114080696
rubber ducky,2.0316130961856644
pops,2.003894184633658
testie,1.9986069871592773
fernado,1.9573467757161072
arby,1.8792808458858636
snipey,1.8515441695930939
definitelyanna,1.7931340779391087
toucan,1.7676483234357292
front flip freddy,1.737654507494063
1232char,1.7355280638974155
awe,1.6537422874354963
ch,1.5910455854235819
senor brightside,1.5872072724555546
leagueson,1.5686658635525124
internine,1.5468595916352526
paz,1.5223768227365428
phrez,1.4687507327761375
tophatbear,1.4367765061645288
waycey,1.3534487647432007
king,1.3004241401703371
renshirokamazaki,1.2936554784106102
brictone,1.241756189818676
roo,1.182967560418862
tortle,1.1787785597503844
lukethighwalkr4,1.1444107901189682
judin,0.9721697814106387
