player name,WAR
mini,3.4439516277761255
keaters,3.4
peak,3.3986026692108666
terminator,3.2842084066799804
aarav,3.098217707572604
greensleeves,3.0672719919170275
hotshot,3.003134217848514
alex,2.8
leon,2.7981361649292116
deso,2.562223621490641
argon,2.5119544683575206
ral days,2.469342520821791
tipsy,2.4686666933410275
pops,2.4
snipey,2.311115521210764
vpr.vnm,2.3064501058717166
5.0stormzy,2.284827
fernado,2.273101996606182
definitelyanna,2.2
bylebukong,2.2
leagueson,2.049392593309134
rubber ducky,2.0
arby,1.9041515058385001
senor brightside,1.774626116478127
king,1.717904298206815
tortle,1.7
capijack,1.7
sqoid,1.7
ch,1.678664
front flip freddy,1.6724002967291716
awe,1.65
testie,1.6486189175239483
tophatbear,1.6211747240614318
dies,1.5672767447134583
phrez,1.3976850228924338
lukethighwalkr4,1.3023468757008692
renshirokamazaki,1.174495566460141
paz,0.9891875786718497
peanuthead,0.8
