player name,WAR,teammate_WAR,performance,avg_performance,cWAR
above,1.1542430167009894,4.620321559717769,0.24981876299784989,0.5208840560372882,0.7639470047128143
arch,1.9332059046901933,4.237822065790644,0.45617911150536194,0.5208840560372882,1.8400398577811463
ch,1.4864074903852,4.0514465597177685,0.36688315357879137,0.5208840560372882,1.2646677855407802
definitelyanna,2.067511557370846,4.864182205650782,0.42504813141436015,0.5208840560372882,1.92952126445612
deso,2.5599956482799366,3.783013518782096,0.6767080359533323,0.5208840560372882,2.7843603290231442
dies,1.7960289816132702,3.6185746298932067,0.4963360342981998,0.5208840560372882,1.7606832725424624
front flip freddy,1.9659967352364585,4.0641456443859605,0.48374170299536473,0.5208840560372882,1.912516955123073
greensleeves,3.130596784643573,3.8010969783780553,0.8236035024761227,0.5208840560372882,3.566470338839812
hotshot,2.8464879559722447,3.3245400145085915,0.8562050519921298,0.5208840560372882,3.329303169936344
internine,1.5010789816132701,3.9135246298932067,0.3835619099334075,0.5208840560372882,1.303354347149631
judin,1.7590847107799368,4.0248959840598735,0.43705097417339095,0.5208840560372882,1.6383768283458813
leagueson,1.8861789816132701,4.456830185448762,0.42321087031126114,0.5208840560372882,1.7455432903390564
mini,2.8414478221929804,3.1886945574294385,0.8911006592251374,0.5208840560372882,3.3745078173543797
pastamafia,1.2226978221929803,4.807444557429439,0.25433425338279136,0.5208840560372882,0.8389034831768488
peak,2.7908548588062527,2.983709717612505,0.9353640678689848,0.5208840560372882,3.3876479556015195
pops,1.7880534607799368,3.9959272340598737,0.4474689742944266,0.5208840560372882,1.682346037661567
prox,2.0649206482799367,3.4729334018230316,0.5945753659416582,0.5208840560372882,2.1710258012169295
ral days,2.236842523279937,3.5471381715598733,0.6306048468070453,0.5208840560372882,2.3948250764480203
renshirokamazaki,1.3913341098183984,4.779693860662438,0.2910927248435881,0.5208840560372882,1.0604668152684236
roo,1.7335854210072095,5.198108342014419,0.33350313362945305,0.5208840560372882,1.463783168131541
rubber ducky,2.3177890693325685,3.6953347176125053,0.6272203322436929,0.5208840560372882,2.4708983961212048
senor brightside,1.7640851219641474,4.249038664980926,0.4151727628423608,0.5208840560372882,1.6118756830741232
snipey,1.931249595648358,4.081874191296716,0.47312815269175285,0.5208840560372882,1.8624877913772986
testie,1.8968345371688256,4.446174629893207,0.42662169056872734,0.5208840560372882,1.7611099487848807
tipsy,2.1174956482799367,3.2971079632265403,0.642228180543946,0.5208840560372882,2.2922141721532774
toucan,1.8294667009115158,3.9450978755072423,0.46373163826164676,0.5208840560372882,1.7471752334824138
vpr.vnm,1.9865259114378315,3.551328138665137,0.5593754882319946,0.5208840560372882,2.0419481763573075
