player name,WAR,cluster,teammate_WAR,performance,avg_performance,cWAR
aarav,3.1950721828200463,1,5.619184365640093,0.5686007033969402,0.5468279680922247,3.2348886087806212
argon,3.2503521828200466,1,5.563904365640092,0.5841854872439228,0.5468279680922247,3.3186689503073263
beeholder,2.368832182820046,2,6.445424365640093,0.36752152355522955,0.5468279680922247,2.040929341342204
bern1s,2.9662576373655005,2,5.7100607292764565,0.5194791750912545,0.5468279680922247,2.916244114654903
deso,1.7857836113914745,3,2.921471984687711,0.6112615903049178,0.5468279680922247,1.903615225669525
front flip freddy,0.9658734731426273,5,4.599424365640093,0.20999877296780126,0.5468279680922247,0.3499042565358865
g_llama,1.2466169447248077,4,3.4963529370686626,0.3565477991389421,0.5468279680922247,0.8986461384452153
greensleeves,2.0897576373655005,3,1.74035618382191,1.2007643359397198,0.5468279680922247,3.2856298421632006
hotshot,2.108855039962903,3,2.5984005561162826,0.811597363231371,0.5468279680922247,2.5930464321165902
king,1.9987415945847524,3,3.970394953875387,0.5034112771662272,0.5468279680922247,1.9193442457668606
kooks,3.6244849100927734,1,5.051833456549184,0.71745930289804,0.5468279680922247,3.936523329417071
leagueson,1.9031512072102899,3,2.654180463201068,0.717039113804266,0.5468279680922247,2.2144212146787714
leon,2.6146050399629033,2,4.522714688220738,0.5781052355065767,0.5468279680922247,2.671802676586122
lukethighwalkr4,0.8126169447248079,5,3.894638651354377,0.20865015152104469,0.5468279680922247,0.194181465371007
mini,3.303506300467105,1,2.6656302479930343,1.2392965239475096,0.5468279680922247,4.569843423403906
mistermirz,0.6668886534082819,5,5.302247895051858,0.1257747028445488,0.5468279680922247,-0.1031035375848891
notmylos,1.6358089570135945,4,5.501510771170047,0.2973381358418562,0.5468279680922247,1.1795597400600626
phrez,2.085575819183683,3,6.590742547458274,0.3164401892754842,0.5468279680922247,1.6642590756006541
ral days,1.6665902316005339,4,2.8907414388108235,0.576526910786641,0.5468279680922247,1.7209015405082149
renshirokamazaki,0.3207803646382277,5,3.5093334565491827,0.09140777546789731,0.5468279680922247,-0.5120596128289069
rubber ducky,2.621325086045853,2,2.943972752736867,0.8904039901894253,0.5468279680922247,3.2496324187813563
sooper,1.4195758191836823,4,2.410538002003728,0.588904144221613,0.5468279680922247,1.496521730118311
terminator,1.9064264685343315,3,2.8365434132591387,0.6720949376705928,0.5468279680922247,2.1355057711446204
tipsy,1.5899264685343313,4,3.153043413259139,0.5042513724512616,0.5468279680922247,1.5120654260761255
toucan,2.886905731207143,2,4.250413996976498,0.6792057746047145,0.5468279680922247,3.128988825410115
uncledrug,0.9875902316005338,5,3.5697414388108237,0.2766559563287381,0.5468279680922247,0.49351891936304226
vpr.vnm,1.97809927959424,3,3.5871985591884803,0.5514328930935283,0.5468279680922247,1.9865204381120996
